,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,127.0,2.98,520.0,136.0,29.0,1.0,44.0,42.0,11.0,19.0,8.0,0.0,79.0,0.272,0.302,0.408,0.302,5.6,1.35,4.16,0.78,15.2,3.7,11.5,0.272,1.22,0.304,79.5,3.44,3.38
1,Total,Away,120.0,3.45,495.0,133.0,26.0,0.0,56.0,46.0,12.0,28.0,8.0,4.0,77.0,0.287,0.338,0.43,0.331,5.78,2.1,2.75,0.9,15.6,5.7,9.9,0.287,1.34,0.324,73.6,3.93,3.5
