,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,2.2,13.5,17.0,5.0,1.0,0.0,4.0,4.0,3.0,4.0,0.0,0.0,1.0,0.385,0.529,1.154,0.642,3.38,13.5,0.25,10.13,5.9,23.5,-17.7,0.385,3.38,0.222,100.0,21.42,10.0
1,Total,Home vs L,1.2,- - -,8.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.375,0.375,0.875,0.515,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.375,1.8,0.286,62.5,10.85,6.46
