"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Nolan Arenado","Rockies","SF @ COL","3B","4.51","1.30",".61",".29",".04",".36",".85",".93",".02",".01",".48",".79","10.14","15.84","11.86","9777"
"Andrew McCutchen","Giants","SF @ COL","RF","4.90","1.34",".77",".30",".03",".24",".89",".84",".05",".03",".64",".89","9.77","15.25","11.43","9847"
"Aaron Judge","Yankees","ATL @ NYY","RF","4.55","1.06",".50",".16",".00",".40",".85",".80",".05",".03",".70","1.44","9.75","15.20","11.27","15640"
"Giancarlo Stanton","Yankees","ATL @ NYY","DH","4.34","1.07",".46",".17",".00",".44",".79",".94",".01",".01",".50","1.26","9.65","15.10","11.18","4949"
"Alen Hanson","Giants","SF @ COL","2B","5.12","1.46",".87",".33",".10",".17",".83",".68",".20",".13",".35",".83","9.53","14.80","11.46","12926"
"Brandon Belt","Giants","SF @ COL","1B","4.79","1.31",".73",".30",".03",".24",".83",".92",".02",".02",".62",".95","9.59","15.00","11.18","10264"
"Buster Posey","Giants","SF @ COL","C","5.00","1.54","1.01",".34",".01",".17",".94",".69",".04",".03",".57",".49","9.40","14.63","11.17","9166"
"Joey Votto","Reds","CWS @ CIN","1B","4.48","1.18",".71",".22",".01",".25",".85",".70",".02",".01",".92",".59","9.33","14.51","10.79","4314"
"Trevor Story","Rockies","SF @ COL","SS","4.40","1.23",".56",".32",".05",".29",".72",".89",".06",".03",".36","1.22","9.23","14.44","10.86","12564"
"Freddie Freeman","Braves","ATL @ NYY","1B","4.58","1.14",".61",".23",".01",".29",".73",".72",".04",".03",".71","1.10","9.04","14.06","10.53","5361"
"Scott Schebler","Reds","CWS @ CIN","RF","4.70","1.16",".58",".24",".03",".30",".80",".69",".04",".03",".52",".94","8.89","13.84","10.42","12225"
"Charlie Blackmon","Rockies","SF @ COL","CF","4.61","1.31",".82",".21",".06",".22",".83",".66",".11",".05",".38",".91","8.77","13.65","10.47","7859"
"Jose Ramirez","Indians","CLE @ KC","3B","4.69","1.26",".72",".28",".05",".21",".71",".72",".10",".06",".48",".53","8.77","13.66","10.39","13510"
