"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Aaron Nola","Phillies","PHI @ MIL",".45","6.64","27.46","5.97","3.86","1.16",".11",".84","2.13","7.66","23.66","40.09","22.23","16149"
"Eduardo Rodriguez","Red Sox","BOS @ SEA",".47","6.83","28.59","6.32","4.27","1.18",".11",".76","2.46","6.68","21.39","37.43","20.25","13164"
"Blaine Hardy","Tigers","DET @ CWS",".49","6.50","26.66","6.15","4.03","1.13",".19",".79","1.59","6.29","21.11","35.89","19.55","6499"
"Caleb Ferguson","Dodgers","SF @ LAD",".40","6.20","26.05","5.19","3.32","1.05",".06",".76","2.82","6.41","19.99","34.79","18.65","19349"
"Jose Quintana","Cubs","CHC @ STL",".41","6.31","26.85","6.13","3.94","1.18",".11",".90","2.40","6.40","19.02","33.93","17.91","11423"
"Julio Teheran","Braves","SD @ ATL",".40","6.39","26.97","6.35","4.10","1.28",".14",".84","2.09","5.80","18.10","32.38","16.91","6797"
"Dylan Bundy","Orioles","MIA @ BAL",".39","6.03","25.43","5.97","3.78","1.12",".06","1.02","1.87","5.92","17.97","31.64","16.66","12917"
"Jon Gray","Rockies","COL @ TEX",".41","5.74","25.07","5.76","3.60","1.18",".15",".84","2.65","6.35","17.16","31.36","16.29","14916"
"Lance McCullers Jr.","Astros","HOU @ KC",".49","5.68","23.86","5.36","3.52","1.21",".15",".48","1.97","5.43","17.90","30.88","16.60","14120"
"Chris Stratton","Giants","SF @ LAD",".33","6.11","25.94","5.79","3.44","1.16",".09","1.10","2.35","5.84","17.25","30.86","16.07","13761"
"Shane Bieber","Indians","MIN @ CLE",".42","6.27","26.25","6.57","3.86","1.69",".09",".92","1.37","5.30","17.26","30.45","15.90","19427"
"Andrew Heaney","Angels","LAA @ OAK",".35","5.83","25.04","5.55","3.33","1.25",".10",".87","2.49","5.80","16.83","30.31","15.76","15423"
"Joe Musgrove","Pirates","CIN @ PIT",".37","6.25","26.32","6.54","4.33","1.22",".12",".87","1.62","5.20","16.72","30.05","15.46","12970"
"Tanner Roark","Nationals","WSH @ TOR",".41","6.43","27.30","6.02","3.30","1.41",".13","1.17","2.57","5.09","16.05","29.25","14.98","8753"
"Chase Anderson","Brewers","PHI @ MIL",".28","5.92","25.15","5.61","3.30","1.12",".12","1.07","2.29","5.53","16.25","29.15","15.05","6895"
"Jack Flaherty","Cardinals","CHC @ STL",".30","5.42","22.88","5.24","3.22",".97",".10",".95","1.81","5.60","16.46","28.31","15.22","17479"
"Clay Buchholz","Diamondbacks","NYM @ ARI",".37","6.07","25.87","5.87","3.47","1.33",".18",".89","2.31","5.02","15.65","28.61","14.48","3543"
"Daniel Mengden","Athletics","LAA @ OAK",".38","6.50","27.07","6.32","3.87","1.37",".07","1.01","1.78","4.41","15.80","28.29","14.40","16980"
"CC Sabathia","Yankees","TB @ NYY",".50","5.59","23.55","5.84","3.97",".97",".07",".84","1.50","4.79","15.78","27.75","14.53","404"
"Zack Wheeler","Mets","NYM @ ARI",".32","5.54","24.53","5.62","3.54","1.18",".21",".68","2.86","5.57","14.67","27.86","13.96","10310"
"James Shields","White Sox","DET @ CWS",".26","6.21","26.71","6.41","3.80","1.27",".15","1.20","2.25","5.24","14.81","27.74","13.79","7059"
"Anthony DeSclafani","Reds","CIN @ PIT",".35","6.09","26.05","6.74","4.33","1.41",".16",".84","1.60","4.83","14.89","27.65","13.80","13050"
"Mike Leake","Mariners","BOS @ SEA",".31","6.54","27.55","7.15","4.56","1.54",".09",".97","1.39","4.28","14.56","26.92","13.37","10130"
"Jake Odorizzi","Twins","MIN @ CLE",".30","5.67","24.78","6.05","3.33","1.44",".10","1.18","2.27","5.20","13.63","25.95","12.77","6397"
"Sam Gaviglio","Blue Jays","WSH @ TOR",".31","5.66","24.12","5.67","3.09","1.36",".14","1.07","1.98","4.53","13.66","25.04","12.52","12778"
"Matt Strahm","Padres","SD @ ATL",".34","5.86","25.84","6.38","4.29","1.40",".10",".59","2.54","4.27","12.54","25.14","11.82","13799"
"Trevor Richards","Marlins","MIA @ BAL",".31","5.69","24.73","6.29","4.00","1.18",".05","1.05","1.93","4.50","12.88","24.72","11.96","19309"
"Yovani Gallardo","Rangers","COL @ TEX",".27","5.36","24.05","6.18","3.86","1.23",".15",".94","2.38","4.22","10.38","21.63","9.81","8173"
"Wilmer Font","Rays","TB @ NYY",".17","5.05","22.98","6.00","3.04","1.03",".06","1.87","2.27","5.32","10.37","21.29","9.91","5257"
"Brad Keller","Royals","HOU @ KC",".21","5.61","25.35","6.88","4.55","1.47",".12",".73","2.35","2.97","7.44","18.00","6.99","15734"
