"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","ARI @ LAD",".49","7.08","27.67","5.64","3.59","1.16",".07",".82","1.27","8.10","28.06","44.71","25.98","2036"
"Jon Gray","Rockies","COL @ SD",".49","6.63","26.55","5.60","3.88","1.11",".16",".45","1.63","7.90","26.33","43.00","24.45","14916"
"Eduardo Rodriguez","Red Sox","BOS @ CWS",".51","6.19","25.90","5.57","3.69","1.03",".15",".70","2.33","7.27","22.25","38.04","20.89","13164"
"Masahiro Tanaka","Yankees","DET @ NYY",".57","6.23","24.98","5.63","3.62","1.21",".07",".73","1.16","6.53","22.81","37.28","20.93","15764"
"James Paxton","Mariners","SEA @ OAK",".44","6.25","26.35","6.01","3.50","1.52",".13",".87","2.08","7.26","21.21","36.62","19.94","11828"
"Stephen Strasburg","Nationals","MIL @ WSH",".43","6.28","26.16","5.92","3.70","1.22",".06",".94","1.90","6.97","21.23","36.29","19.80","10131"
"Josh James","Astros","LAA @ HOU",".45","5.70","24.46","4.97","3.29",".96",".16",".55","2.98","7.05","20.19","35.25","19.13","sa829673"
"Dylan Bundy","Orioles","BAL @ KC",".43","6.29","26.48","6.17","3.96","1.24",".24",".73","2.08","6.38","19.51","34.35","18.28","12917"
"Marco Estrada","Blue Jays","TOR @ MIA",".48","6.60","26.86","5.92","3.92","1.23",".20",".57","1.72","5.11","19.54","33.35","17.89","1118"
"Kyle Hendricks","Cubs","CHC @ PHI",".46","6.35","26.28","6.01","3.79","1.03",".15","1.04","1.70","5.67","18.92","32.62","17.42","12049"
"Derek Holland","Giants","NYM @ SF",".37","6.01","25.01","5.37","3.47","1.19",".16",".55","2.13","5.54","18.38","31.73","16.92","4141"
"Luis Castillo","Reds","CIN @ STL",".36","6.14","25.84","6.10","3.87","1.22",".08",".93","1.87","5.91","18.03","31.76","16.76","15689"
"Patrick Corbin","Diamondbacks","ARI @ LAD",".27","6.01","25.45","5.66","3.37","1.28",".07",".94","2.26","6.12","17.92","31.63","16.69","9323"
"Shane Bieber","Indians","TB @ CLE",".37","6.04","25.37","6.57","4.42","1.38",".12",".65","1.29","5.74","17.81","31.39","16.50","19427"
"Steven Matz","Mets","NYM @ SF",".35","6.14","25.78","6.04","4.04","1.25",".20",".55","1.95","5.35","17.42","30.94","16.15","13361"
"Robbie Erlin","Padres","COL @ SD",".27","6.36","25.95","6.45","4.17","1.36",".13",".79",".92","5.18","17.92","30.65","16.26","10354"
"Jose Berrios","Twins","MIN @ TEX",".39","5.81","25.27","5.73","3.61","1.19",".11",".83","2.69","6.03","16.69","30.63","15.78","14168"
"Chris Archer","Pirates","PIT @ ATL",".35","5.70","24.63","6.11","4.01","1.35",".10",".65","2.01","6.00","16.83","30.51","15.85","6345"
"Blake Snell","Rays","TB @ CLE",".34","5.95","25.72","5.97","3.79","1.35",".06",".77","2.45","5.79","16.56","30.35","15.55","13543"
"Kevin Gausman","Braves","PIT @ ATL",".33","5.98","25.56","6.54","4.33","1.43",".13",".65","1.69","5.24","15.81","28.96","14.69","14107"
"Wei-Yin Chen","Marlins","TOR @ MIA",".27","6.01","25.18","6.04","3.64","1.40",".11",".89","1.65","4.94","15.69","27.96","14.34","13071"
"Daniel Poncedeleon","Cardinals","CIN @ STL",".34","5.82","25.11","5.49","3.86","1.00",".14",".48","2.86","4.84","15.04","28.06","14.07","16110"
"Zach Eflin","Phillies","CHC @ PHI",".27","5.67","24.29","6.00","3.41","1.22",".14","1.23","1.72","5.14","14.50","26.40","13.37","13774"
"Heath Fillmyer","Royals","BAL @ KC",".28","5.69","24.75","6.13","4.17","1.06",".14",".76","2.23","4.21","12.34","24.12","11.48","17466"
"Chase Anderson","Brewers","MIL @ WSH",".29","5.54","24.45","5.86","3.62","1.19",".13",".93","2.57","4.09","11.18","22.56","10.45","6895"
"Carlos Rodon","White Sox","BOS @ CWS",".22","5.44","24.09","5.64","3.55","1.14",".08",".88","2.77","4.27","11.16","22.53","10.47","16137"
"Daniel Mengden","Athletics","SEA @ OAK",".29","5.92","25.56","6.92","4.48","1.44",".16",".84","1.47","3.53","11.26","22.33","10.27","16980"
"Yovani Gallardo","Rangers","MIN @ TEX",".28","5.40","24.18","6.06","3.88","1.28",".15",".75","2.48","4.14","10.78","22.16","10.17","8173"
"Felix Pena","Angels","LAA @ HOU",".21","5.09","23.43","5.88","3.77","1.10",".17",".83","2.90","4.53","9.85","21.31","9.56","13403"
"Daniel Norris","Tigers","DET @ NYY",".16","4.91","22.90","5.68","3.40","1.17",".08","1.04","3.06","4.54","8.80","19.76","8.62","13475"
