Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Chris Sale (11012074),Chris Sale,11012074,P,13500,NYY@BOS 08/02/2018 07:10PM ET,BOS,28.68
SP,Max Scherzer (11011495),Max Scherzer,11011495,P,13000,CIN@WAS 08/02/2018 07:05PM ET,WAS,26.43
SP,Jacob deGrom (11012075),Jacob deGrom,11012075,P,12900,ATL@NYM 08/02/2018 07:10PM ET,NYM,24.73
SP,Luis Severino (11012076),Luis Severino,11012076,P,12200,NYY@BOS 08/02/2018 07:10PM ET,NYY,22.86
SP,Stephen Strasburg (11012077),Stephen Strasburg,11012077,P,12000,CIN@WAS 08/02/2018 07:05PM ET,WAS,20.2
SP,Clayton Kershaw (11011496),Clayton Kershaw,11011496,P,11600,MIL@LAD 08/02/2018 09:00PM ET,LAD,18.18
SP,Zack Greinke (11011497),Zack Greinke,11011497,P,11200,SF@ARI 08/02/2018 09:40PM ET,ARI,21.03
SP,Patrick Corbin (11012078),Patrick Corbin,11012078,P,10700,SF@ARI 08/02/2018 09:40PM ET,ARI,22.00
SP,Noah Syndergaard (11012079),Noah Syndergaard,11012079,P,10700,ATL@NYM 08/02/2018 07:10PM ET,NYM,18.95
SP,Mike Foltynewicz (11011498),Mike Foltynewicz,11011498,P,10500,ATL@NYM 08/02/2018 07:10PM ET,ATL,19.68
SP,Masahiro Tanaka (11012080),Masahiro Tanaka,11012080,P,10300,NYY@BOS 08/02/2018 07:10PM ET,NYY,18.44
SP,Kenta Maeda (11012081),Kenta Maeda,11012081,P,10100,MIL@LAD 08/02/2018 09:00PM ET,LAD,16.01
SP,Marco Gonzales (11012082),Marco Gonzales,11012082,P,9900,TOR@SEA 08/02/2018 10:10PM ET,SEA,17.65
SP,Madison Bumgarner (11011499),Madison Bumgarner,11011499,P,9600,SF@ARI 08/02/2018 09:40PM ET,SF,16.58
SP,James Paxton (11012084),James Paxton,11012084,P,9600,TOR@SEA 08/02/2018 10:10PM ET,SEA,22.87
SP,Rich Hill (11012083),Rich Hill,11012083,P,9600,MIL@LAD 08/02/2018 09:00PM ET,LAD,14.98
SP,J.A. Happ (11012085),J.A. Happ,11012085,P,9200,NYY@BOS 08/02/2018 07:10PM ET,NYY,18.30
SP,Tanner Roark (11012086),Tanner Roark,11012086,P,9100,CIN@WAS 08/02/2018 07:05PM ET,WAS,14.16
SP,Aaron Nola (11012087),Aaron Nola,11012087,P,9000,MIA@PHI 08/02/2018 07:05PM ET,PHI,22.40
SP,Hyun-Jin Ryu (11012088),Hyun-Jin Ryu,11012088,P,8900,MIL@LAD 08/02/2018 09:00PM ET,LAD,17.22
SP,Eduardo Rodriguez (11012089),Eduardo Rodriguez,11012089,P,8700,NYY@BOS 08/02/2018 07:10PM ET,BOS,17.91
SP,David Price (11012091),David Price,11012091,P,8600,NYY@BOS 08/02/2018 07:10PM ET,BOS,17.08
SP,Yu Darvish (11012090),Yu Darvish,11012090,P,8600,SD@CHC 08/02/2018 08:05PM ET,CHC,13.92
SP,Jimmy Nelson (11012092),Jimmy Nelson,11012092,P,8600,MIL@LAD 08/02/2018 09:00PM ET,MIL,0
SP,Sonny Gray (11012093),Sonny Gray,11012093,P,8500,NYY@BOS 08/02/2018 07:10PM ET,NYY,11.25
RP,Ross Stripling (11012094),Ross Stripling,11012094,P,8500,MIL@LAD 08/02/2018 09:00PM ET,LAD,12.35
RP,Walker Buehler (11012095),Walker Buehler,11012095,P,8500,MIL@LAD 08/02/2018 09:00PM ET,LAD,16.33
SP,Freddy Peralta (11012096),Freddy Peralta,11012096,P,8500,MIL@LAD 08/02/2018 09:00PM ET,MIL,19.79
SP,Nick Pivetta (11011500),Nick Pivetta,11011500,P,8500,MIA@PHI 08/02/2018 07:05PM ET,PHI,15.00
SP,Rick Porcello (11012097),Rick Porcello,11012097,P,8400,NYY@BOS 08/02/2018 07:10PM ET,BOS,17.23
SP,Nathan Eovaldi (11012099),Nathan Eovaldi,11012099,P,8300,NYY@BOS 08/02/2018 07:10PM ET,BOS,15.45
SP,Jon Lester (11012098),Jon Lester,11012098,P,8300,SD@CHC 08/02/2018 08:05PM ET,CHC,14.16
SP,Jordan Montgomery (11012101),Jordan Montgomery,11012101,P,8200,NYY@BOS 08/02/2018 07:10PM ET,NYY,11.88
SP,Jose Quintana (11012100),Jose Quintana,11012100,P,8200,SD@CHC 08/02/2018 08:05PM ET,CHC,13.69
SP,Johnny Cueto (11012102),Johnny Cueto,11012102,P,8100,SF@ARI 08/02/2018 09:40PM ET,SF,14.54
SP,Robbie Ray (11012105),Robbie Ray,11012105,P,8000,SF@ARI 08/02/2018 09:40PM ET,ARI,14.54
SP,Jhoulys Chacin (11011501),Jhoulys Chacin,11011501,P,8000,MIL@LAD 08/02/2018 09:00PM ET,MIL,14.72
SP,Anibal Sanchez (11012103),Anibal Sanchez,11012103,P,8000,ATL@NYM 08/02/2018 07:10PM ET,ATL,17.05
SP,Zack Wheeler (11012104),Zack Wheeler,11012104,P,8000,ATL@NYM 08/02/2018 07:10PM ET,NYM,15.87
RP,Dereck Rodriguez (11012107),Dereck Rodriguez,11012107,P,7900,SF@ARI 08/02/2018 09:40PM ET,SF,15.92
SP,Cole Hamels (11012106),Cole Hamels,11012106,P,7900,SD@CHC 08/02/2018 08:05PM ET,CHC,14.93
SP,Jonathan Loaisiga (11012110),Jonathan Loaisiga,11012110,P,7800,NYY@BOS 08/02/2018 07:10PM ET,NYY,16.18
SP,Vince Velasquez (11012108),Vince Velasquez,11012108,P,7800,MIA@PHI 08/02/2018 07:05PM ET,PHI,16.00
SP,Zach Eflin (11012109),Zach Eflin,11012109,P,7800,MIA@PHI 08/02/2018 07:05PM ET,PHI,15.15
SP,Derek Holland (11012113),Derek Holland,11012113,P,7600,SF@ARI 08/02/2018 09:40PM ET,SF,12.67
SP,Gio Gonzalez (11012112),Gio Gonzalez,11012112,P,7600,CIN@WAS 08/02/2018 07:05PM ET,WAS,13.89
SP,Junior Guerra (11012111),Junior Guerra,11012111,P,7600,MIL@LAD 08/02/2018 09:00PM ET,MIL,15.42
SP,Alex Wood (11012114),Alex Wood,11012114,P,7500,MIL@LAD 08/02/2018 09:00PM ET,LAD,15.14
SP,Sean Newcomb (11012115),Sean Newcomb,11012115,P,7500,ATL@NYM 08/02/2018 07:10PM ET,ATL,16.99
RP,Wade LeBlanc (11012116),Wade LeBlanc,11012116,P,7400,TOR@SEA 08/02/2018 10:10PM ET,SEA,11.97
SP,Chase Anderson (11012117),Chase Anderson,11012117,P,7400,MIL@LAD 08/02/2018 09:00PM ET,MIL,13.93
SP,Chris Stratton (11012120),Chris Stratton,11012120,P,7300,SF@ARI 08/02/2018 09:40PM ET,SF,10.71
SP,Dinelson Lamet (11012121),Dinelson Lamet,11012121,P,7300,SD@CHC 08/02/2018 08:05PM ET,SD,0
SP,Julio Teheran (11012118),Julio Teheran,11012118,P,7300,ATL@NYM 08/02/2018 07:10PM ET,ATL,14.13
SP,Kevin Gausman (11012119),Kevin Gausman,11012119,P,7300,ATL@NYM 08/02/2018 07:10PM ET,ATL,13.30
SP,Enyel De Los Santos (11012122),Enyel De Los Santos,11012122,P,7300,MIA@PHI 08/02/2018 07:05PM ET,PHI,8.9
SP,Zack Godley (11012125),Zack Godley,11012125,P,7200,SF@ARI 08/02/2018 09:40PM ET,ARI,15.22
RP,Domingo German (11012126),Domingo German,11012126,P,7200,NYY@BOS 08/02/2018 07:10PM ET,NYY,11.13
SP,Tyson Ross (11012123),Tyson Ross,11012123,P,7200,SD@CHC 08/02/2018 08:05PM ET,SD,11.94
SP,Kyle Hendricks (11012127),Kyle Hendricks,11012127,P,7200,SD@CHC 08/02/2018 08:05PM ET,CHC,14.20
SP,Marcus Stroman (11012124),Marcus Stroman,11012124,P,7200,TOR@SEA 08/02/2018 10:10PM ET,TOR,10.69
SP,Clay Buchholz (11012128),Clay Buchholz,11012128,P,7100,SF@ARI 08/02/2018 09:40PM ET,ARI,17.08
RP,Max Fried (11012129),Max Fried,11012129,P,7100,ATL@NYM 08/02/2018 07:10PM ET,ATL,10.44
SP,Ranger Suarez (11012130),Ranger Suarez,11012130,P,7100,MIA@PHI 08/02/2018 07:05PM ET,PHI,9.05
SP,Mike Montgomery (11011502),Mike Montgomery,11011502,P,7000,SD@CHC 08/02/2018 08:05PM ET,CHC,5.50
SP,Joey Lucchesi (11012131),Joey Lucchesi,11012131,P,7000,SD@CHC 08/02/2018 08:05PM ET,SD,14.04
SP,Taijuan Walker (11012134),Taijuan Walker,11012134,P,6900,SF@ARI 08/02/2018 09:40PM ET,ARI,8.42
SP,Jaime Garcia (11012132),Jaime Garcia,11012132,P,6900,TOR@SEA 08/02/2018 10:10PM ET,TOR,6.64
SP,Steven Matz (11012133),Steven Matz,11012133,P,6900,ATL@NYM 08/02/2018 07:10PM ET,NYM,12.62
SP,Mike Soroka (11012136),Mike Soroka,11012136,P,6900,ATL@NYM 08/02/2018 07:10PM ET,ATL,13.11
SP,Caleb Smith (11012135),Caleb Smith,11012135,P,6900,MIA@PHI 08/02/2018 07:05PM ET,MIA,14.91
SP,Dylan Bundy (11012137),Dylan Bundy,11012137,P,6700,BAL@TEX 08/02/2018 08:05PM ET,BAL,16.5
SP,Trevor Richards (11011503),Trevor Richards,11011503,P,6700,MIA@PHI 08/02/2018 07:05PM ET,MIA,12.63
SP,Jeremy Hellickson (11012138),Jeremy Hellickson,11012138,P,6500,CIN@WAS 08/02/2018 07:05PM ET,WAS,12.05
SP,Luis Castillo (11012140),Luis Castillo,11012140,P,6400,CIN@WAS 08/02/2018 07:05PM ET,CIN,12.85
SP,Luiz Gohara (11012141),Luiz Gohara,11012141,P,6400,ATL@NYM 08/02/2018 07:10PM ET,ATL,4.43
SP,Jerad Eickhoff (11012139),Jerad Eickhoff,11012139,P,6400,MIA@PHI 08/02/2018 07:05PM ET,PHI,0
SP,Andrew Suarez (11012145),Andrew Suarez,11012145,P,6300,SF@ARI 08/02/2018 09:40PM ET,SF,13.73
RP,Luis Cessa (11012144),Luis Cessa,11012144,P,6300,NYY@BOS 08/02/2018 07:10PM ET,NYY,7.71
SP,Tyler Chatwood (11012143),Tyler Chatwood,11012143,P,6300,SD@CHC 08/02/2018 08:05PM ET,CHC,8.80
SP,Brandon McCarthy (11012142),Brandon McCarthy,11012142,P,6300,ATL@NYM 08/02/2018 07:10PM ET,ATL,11.73
SP,Kolby Allard (11012146),Kolby Allard,11012146,P,6300,ATL@NYM 08/02/2018 07:10PM ET,ATL,2.05
SP,Steven Wright (11012148),Steven Wright,11012148,P,6200,NYY@BOS 08/02/2018 07:10PM ET,BOS,9.94
SP,Yovani Gallardo (11011504),Yovani Gallardo,11011504,P,6200,BAL@TEX 08/02/2018 08:05PM ET,TEX,6.88
SP,Clayton Richard (11012147),Clayton Richard,11012147,P,6200,SD@CHC 08/02/2018 08:05PM ET,SD,10.88
SP,Aaron Sanchez (11012150),Aaron Sanchez,11012150,P,6200,TOR@SEA 08/02/2018 10:10PM ET,TOR,11.31
SP,Jake Arrieta (11012149),Jake Arrieta,11012149,P,6200,MIA@PHI 08/02/2018 07:05PM ET,PHI,14.25
SP,Felix Hernandez (11011505),Felix Hernandez,11011505,P,6100,TOR@SEA 08/02/2018 10:10PM ET,SEA,11.18
SP,Brent Suter (11012152),Brent Suter,11012152,P,6100,MIL@LAD 08/02/2018 09:00PM ET,MIL,12.05
SP,Dan Straily (11012151),Dan Straily,11012151,P,6100,MIA@PHI 08/02/2018 07:05PM ET,MIA,10.37
SP,Shelby Miller (11012153),Shelby Miller,11012153,P,6000,SF@ARI 08/02/2018 09:40PM ET,ARI,3.79
SP,Tyler Mahle (11011506),Tyler Mahle,11011506,P,6000,CIN@WAS 08/02/2018 07:05PM ET,CIN,12.30
OF,Mookie Betts (11011514),Mookie Betts,11011514,OF,6000,NYY@BOS 08/02/2018 07:10PM ET,BOS,12.18
SP,Zach Davies (11012154),Zach Davies,11012154,P,6000,MIL@LAD 08/02/2018 09:00PM ET,MIL,9.64
RP,Seth Lugo (11012155),Seth Lugo,11012155,P,6000,ATL@NYM 08/02/2018 07:10PM ET,NYM,6.48
SP,Erick Fedde (11012158),Erick Fedde,11012158,P,5900,CIN@WAS 08/02/2018 07:05PM ET,WAS,6.9
SP,CC Sabathia (11011507),CC Sabathia,11011507,P,5900,NYY@BOS 08/02/2018 07:10PM ET,NYY,13.74
SP,Drew Pomeranz (11012156),Drew Pomeranz,11012156,P,5900,NYY@BOS 08/02/2018 07:10PM ET,BOS,7.54
SP,Hisashi Iwakuma (11012157),Hisashi Iwakuma,11012157,P,5900,TOR@SEA 08/02/2018 10:10PM ET,SEA,0
SP,Caleb Ferguson (11012159),Caleb Ferguson,11012159,P,5900,MIL@LAD 08/02/2018 09:00PM ET,LAD,8.68
2B/SS,Javier Baez (11011515),Javier Baez,11011515,2B/SS,5800,SD@CHC 08/02/2018 08:05PM ET,CHC,9.81
SP,Drew Smyly (11012160),Drew Smyly,11012160,P,5800,SD@CHC 08/02/2018 08:05PM ET,CHC,0
SP,Cal Quantrill (11012162),Cal Quantrill,11012162,P,5800,SD@CHC 08/02/2018 08:05PM ET,SD,0
SP,Brandon Woodruff (11012161),Brandon Woodruff,11012161,P,5800,MIL@LAD 08/02/2018 09:00PM ET,MIL,6.89
