Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Zack Greinke (10998806),Zack Greinke,10998806,P,10700,ARI@SD 07/29/2018 04:10PM ET,ARI,21.03
SP,Patrick Corbin (10998807),Patrick Corbin,10998807,P,10700,ARI@SD 07/29/2018 04:10PM ET,ARI,22.00
SP,James Paxton (10998808),James Paxton,10998808,P,10200,SEA@LAA 07/29/2018 04:07PM ET,SEA,22.32
SP,Tyler Skaggs (10998809),Tyler Skaggs,10998809,P,10200,SEA@LAA 07/29/2018 04:07PM ET,LAA,19.22
SP,Marco Gonzales (10998607),Marco Gonzales,10998607,P,9900,SEA@LAA 07/29/2018 04:07PM ET,SEA,17.43
SP,Freddy Peralta (10998810),Freddy Peralta,10998810,P,9500,MIL@SF 07/29/2018 04:05PM ET,MIL,20.49
SP,Madison Bumgarner (10998811),Madison Bumgarner,10998811,P,9300,MIL@SF 07/29/2018 04:05PM ET,SF,16.58
SP,Andrew Heaney (10998812),Andrew Heaney,10998812,P,8900,SEA@LAA 07/29/2018 04:07PM ET,LAA,17.68
SP,Jimmy Nelson (10998813),Jimmy Nelson,10998813,P,8600,MIL@SF 07/29/2018 04:05PM ET,MIL,0
SP,Zack Godley (10998814),Zack Godley,10998814,P,8200,ARI@SD 07/29/2018 04:10PM ET,ARI,14.21
SP,Johnny Cueto (10998815),Johnny Cueto,10998815,P,8100,MIL@SF 07/29/2018 04:05PM ET,SF,14.54
RP,Dereck Rodriguez (10998817),Dereck Rodriguez,10998817,P,7900,MIL@SF 07/29/2018 04:05PM ET,SF,15.18
RP,Wade LeBlanc (10998816),Wade LeBlanc,10998816,P,7900,SEA@LAA 07/29/2018 04:07PM ET,SEA,12.74
SP,Derek Holland (10998818),Derek Holland,10998818,P,7800,MIL@SF 07/29/2018 04:05PM ET,SF,12.62
SP,Jhoulys Chacin (10998819),Jhoulys Chacin,10998819,P,7700,MIL@SF 07/29/2018 04:05PM ET,MIL,14.72
SP,Junior Guerra (10998608),Junior Guerra,10998608,P,7600,MIL@SF 07/29/2018 04:05PM ET,MIL,16.01
SP,Garrett Richards (10998820),Garrett Richards,10998820,P,7500,SEA@LAA 07/29/2018 04:07PM ET,LAA,15.27
RP,Nick Tropeano (10998821),Nick Tropeano,10998821,P,7400,SEA@LAA 07/29/2018 04:07PM ET,LAA,12.73
SP,Chris Stratton (10998823),Chris Stratton,10998823,P,7300,MIL@SF 07/29/2018 04:05PM ET,SF,10.71
