Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Tyler Thornburg (10861897),Tyler Thornburg,10861897,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
RP,Heath Hembree (10861900),Heath Hembree,10861900,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,3.57
RP,Akeel Morris (10861901),Akeel Morris,10861901,P,4000,LAA@BOS 06/28/2018 07:10PM ET,LAA,1.32
SP,Roniel Raudes (10861902),Roniel Raudes,10861902,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
SP,Travis Lakins (10861904),Travis Lakins,10861904,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
SP,Tanner Houck (10861909),Tanner Houck,10861909,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
SP,Darwinzon Hernandez (10861911),Darwinzon Hernandez,10861911,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
SP,Griffin Canning (10861918),Griffin Canning,10861918,P,4000,LAA@BOS 06/28/2018 07:10PM ET,LAA,0
RP,Justin Anderson (10861920),Justin Anderson,10861920,P,4000,LAA@BOS 06/28/2018 07:10PM ET,LAA,3.06
SP,Jason Groome (10861922),Jason Groome,10861922,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
SP,Bryan Mata (10861924),Bryan Mata,10861924,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
SP,Chris Rodriguez (10861926),Chris Rodriguez,10861926,P,4000,LAA@BOS 06/28/2018 07:10PM ET,LAA,0
RP,Carson Smith (10861930),Carson Smith,10861930,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,2.68
RP,Noe Ramirez (10861933),Noe Ramirez,10861933,P,4000,LAA@BOS 06/28/2018 07:10PM ET,LAA,4.13
SP,Mike Shawaryn (10861936),Mike Shawaryn,10861936,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
SP,Jake Thompson (10861937),Jake Thompson,10861937,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
RP,Keynan Middleton (10861942),Keynan Middleton,10861942,P,4000,LAA@BOS 06/28/2018 07:10PM ET,LAA,3.08
SP,Ty Buttrey (10861944),Ty Buttrey,10861944,P,4000,LAA@BOS 06/28/2018 07:10PM ET,BOS,0
SP,Ryne Stanek (10861536),Ryne Stanek,10861536,P,4000,HOU@TB 06/28/2018 07:10PM ET,TB,4.34
1B,C.J. Cron (10861576),C.J. Cron,10861576,1B,4000,HOU@TB 06/28/2018 07:10PM ET,TB,7.60
