Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (11203580),Jacob deGrom,11203580,P,13400,NYM@LAD 09/03/2018 08:10PM ET,NYM,26.45
SP,Clayton Kershaw (11203438),Clayton Kershaw,11203438,P,12100,NYM@LAD 09/03/2018 08:10PM ET,LAD,19.34
SP,Patrick Corbin (11203523),Patrick Corbin,11203523,P,11500,SD@ARI 09/03/2018 08:10PM ET,ARI,22.78
SP,Zack Greinke (11203408),Zack Greinke,11203408,P,11000,SD@ARI 09/03/2018 08:10PM ET,ARI,19.68
SP,Zack Wheeler (11203511),Zack Wheeler,11203511,P,10600,NYM@LAD 09/03/2018 08:10PM ET,NYM,18.35
SP,Clay Buchholz (11203433),Clay Buchholz,11203433,P,10000,SD@ARI 09/03/2018 08:10PM ET,ARI,19.11
SP,Walker Buehler (11203661),Walker Buehler,11203661,P,9900,NYM@LAD 09/03/2018 08:10PM ET,LAD,18.68
SP,Zack Godley (11203549),Zack Godley,11203549,P,9700,SD@ARI 09/03/2018 08:10PM ET,ARI,15.76
SP,Noah Syndergaard (11203569),Noah Syndergaard,11203569,P,9700,NYM@LAD 09/03/2018 08:10PM ET,NYM,19.49
SP,Rich Hill (11203409),Rich Hill,11203409,P,9400,NYM@LAD 09/03/2018 08:10PM ET,LAD,15.96
SP,Alex Wood (11203635),Alex Wood,11203635,P,9200,NYM@LAD 09/03/2018 08:10PM ET,LAD,15.28
SP,Tyler Skaggs (11203516),Tyler Skaggs,11203516,P,8200,LAA@TEX 09/03/2018 08:05PM ET,LAA,16.59
SP,Hyun-Jin Ryu (11203679),Hyun-Jin Ryu,11203679,P,8200,NYM@LAD 09/03/2018 08:10PM ET,LAD,17.74
SP,Robbie Ray (11203582),Robbie Ray,11203582,P,8000,SD@ARI 09/03/2018 08:10PM ET,ARI,15.14
SP,Joey Lucchesi (11203757),Joey Lucchesi,11203757,P,7500,SD@ARI 09/03/2018 08:10PM ET,SD,15.50
SP,Mike Minor (11203450),Mike Minor,11203450,P,7500,LAA@TEX 09/03/2018 08:05PM ET,TEX,14.26
SP,Garrett Richards (11203518),Garrett Richards,11203518,P,7500,LAA@TEX 09/03/2018 08:05PM ET,LAA,15.27
SP,Steven Matz (11203521),Steven Matz,11203521,P,7500,NYM@LAD 09/03/2018 08:10PM ET,NYM,13.37
SP,Matt Shoemaker (11203509),Matt Shoemaker,11203509,P,7400,LAA@TEX 09/03/2018 08:05PM ET,LAA,13.95
SP,Andrew Heaney (11203539),Andrew Heaney,11203539,P,7400,LAA@TEX 09/03/2018 08:05PM ET,LAA,16.65
SP,Dinelson Lamet (11203731),Dinelson Lamet,11203731,P,7300,SD@ARI 09/03/2018 08:10PM ET,SD,0
RP,Ross Stripling (11203621),Ross Stripling,11203621,P,7200,NYM@LAD 09/03/2018 08:10PM ET,LAD,12.34
SP,Kenta Maeda (11203457),Kenta Maeda,11203457,P,7000,NYM@LAD 09/03/2018 08:10PM ET,LAD,13.22
SP,Taijuan Walker (11203568),Taijuan Walker,11203568,P,6900,SD@ARI 09/03/2018 08:10PM ET,ARI,8.42
SP,Jaime Barria (11203689),Jaime Barria,11203689,P,6300,LAA@TEX 09/03/2018 08:05PM ET,LAA,13.04
RP,Felix Pena (11203555),Felix Pena,11203555,P,6200,LAA@TEX 09/03/2018 08:05PM ET,LAA,11.59
SP,Nick Tropeano (11203602),Nick Tropeano,11203602,P,6200,LAA@TEX 09/03/2018 08:05PM ET,LAA,12.74
SP,Alex Meyer (11203497),Alex Meyer,11203497,P,6100,LAA@TEX 09/03/2018 08:05PM ET,LAA,0
SP,Jason Vargas (11203421),Jason Vargas,11203421,P,6100,NYM@LAD 09/03/2018 08:10PM ET,NYM,7.59
SP,Shelby Miller (11203513),Shelby Miller,11203513,P,6000,SD@ARI 09/03/2018 08:10PM ET,ARI,3.79
RP,Seth Lugo (11203633),Seth Lugo,11203633,P,6000,NYM@LAD 09/03/2018 08:10PM ET,NYM,5.88
RP,Caleb Ferguson (11203729),Caleb Ferguson,11203729,P,5900,NYM@LAD 09/03/2018 08:10PM ET,LAD,6.85
SP,Cal Quantrill (11203711),Cal Quantrill,11203711,P,5800,SD@ARI 09/03/2018 08:10PM ET,SD,0
OF,Mike Trout (11203514),Mike Trout,11203514,OF,5700,LAA@TEX 09/03/2018 08:05PM ET,LAA,10.87
SP,Clayton Richard (11203428),Clayton Richard,11203428,P,5400,SD@ARI 09/03/2018 08:10PM ET,SD,9.84
RP,JC Ramirez (11203484),JC Ramirez,11203484,P,5400,LAA@TEX 09/03/2018 08:05PM ET,LAA,0.3
SP,Walker Lockett (11203656),Walker Lockett,11203656,P,5300,SD@ARI 09/03/2018 08:10PM ET,SD,1.64
SP,Chris Flexen (11203662),Chris Flexen,11203662,P,5300,NYM@LAD 09/03/2018 08:10PM ET,NYM,-2.59
SP,Matt Koch (11203544),Matt Koch,11203544,P,5200,SD@ARI 09/03/2018 08:10PM ET,ARI,9.06
SP,Eric Lauer (11203704),Eric Lauer,11203704,P,5200,SD@ARI 09/03/2018 08:10PM ET,SD,9.81
SP,Martin Perez (11203502),Martin Perez,11203502,P,5200,LAA@TEX 09/03/2018 08:05PM ET,TEX,4.76
SP,Corey Oswalt (11203658),Corey Oswalt,11203658,P,5200,NYM@LAD 09/03/2018 08:10PM ET,NYM,6.84
RP,Paul Sewald (11203660),Paul Sewald,11203660,P,5200,NYM@LAD 09/03/2018 08:10PM ET,NYM,2.81
1B,Paul Goldschmidt (11203530),Paul Goldschmidt,11203530,1B,5100,SD@ARI 09/03/2018 08:10PM ET,ARI,9.4
SP,Drew Hutchison (11203533),Drew Hutchison,11203533,P,5100,LAA@TEX 09/03/2018 08:05PM ET,TEX,3.45
SP,Marcos Molina (11203652),Marcos Molina,11203652,P,5100,NYM@LAD 09/03/2018 08:10PM ET,NYM,0
SP,Phil Hughes (11203419),Phil Hughes,11203419,P,5000,SD@ARI 09/03/2018 08:10PM ET,SD,2.54
RP,Matt Andriese (11203599),Matt Andriese,11203599,P,5000,SD@ARI 09/03/2018 08:10PM ET,ARI,5.56
SP,Bartolo Colon (11203392),Bartolo Colon,11203392,P,5000,LAA@TEX 09/03/2018 08:05PM ET,TEX,8.85
SP,Yovani Gallardo (11203420),Yovani Gallardo,11203420,P,5000,LAA@TEX 09/03/2018 08:05PM ET,TEX,7.35
OF,Shohei Ohtani (11203683),Shohei Ohtani,11203683,OF,5000,LAA@TEX 09/03/2018 08:05PM ET,LAA,2.04
SP,Jeffrey Springs (11203751),Jeffrey Springs,11203751,P,5000,LAA@TEX 09/03/2018 08:05PM ET,TEX,5.08
OF,David Peralta (11203456),David Peralta,11203456,OF,4900,SD@ARI 09/03/2018 08:10PM ET,ARI,8.55
SP,Robbie Erlin (11203526),Robbie Erlin,11203526,P,4900,SD@ARI 09/03/2018 08:10PM ET,SD,6.35
SP,Parker Bridwell (11203579),Parker Bridwell,11203579,P,4900,LAA@TEX 09/03/2018 08:05PM ET,LAA,-12.45
SP,Julio Urias (11203685),Julio Urias,11203685,P,4900,NYM@LAD 09/03/2018 08:10PM ET,LAD,0
SP,Rubby De La Rosa (11203552),Rubby De La Rosa,11203552,P,4800,SD@ARI 09/03/2018 08:10PM ET,ARI,0
OF,Justin Upton (11203437),Justin Upton,11203437,OF,4800,LAA@TEX 09/03/2018 08:05PM ET,LAA,8.27
SP,Tim Lincecum (11203439),Tim Lincecum,11203439,P,4800,LAA@TEX 09/03/2018 08:05PM ET,TEX,0
