"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Adam Jones","Orioles","BAL @ WSH","CF","4.74","1.33",".88",".21",".01",".23",".72",".65",".01",".01",".23",".71","7.74","12.08","9.32","6368"
"Leonys Martin","Tigers","DET @ CIN","CF","4.75","1.16",".71",".22",".03",".19",".66",".48",".15",".08",".43",".94","7.78","12.04","9.31","11846"
"Nomar Mazara","Rangers","TEX @ KC","RF","4.65","1.23",".77",".24",".02",".20",".63",".73",".02",".01",".36",".79","7.73","12.08","9.19","14553"
"Elvis Andrus","Rangers","TEX @ KC","SS","4.77","1.36",".92",".30",".03",".10",".67",".57",".14",".07",".27",".53","7.67","11.92","9.30","8709"
"Aaron Hicks","Yankees","SEA @ NYY","CF","4.69","1.08",".67",".22",".02",".16",".72",".50",".11",".07",".62",".86","7.77","12.06","9.14","5297"
"Nicholas Castellanos","Tigers","DET @ CIN","RF","4.53","1.26",".74",".31",".03",".20",".61",".66",".02",".02",".29",".88","7.65","11.93","9.17","11737"
"Nelson Cruz","Mariners","SEA @ NYY","DH","4.46",".98",".54",".15",".00",".28",".60",".72",".01",".01",".54","1.23","7.68","12.00","8.94","2434"
"Jose Altuve","Astros","TB @ HOU","2B","4.38","1.26",".85",".25",".03",".12",".63",".58",".10",".05",".44",".72","7.60","11.81","9.12","5417"
"Jeimer Candelario","Tigers","DET @ CIN","3B","4.64","1.10",".57",".31",".03",".19",".70",".53",".01",".01",".53",".98","7.67","11.92","9.01","13621"
"Max Muncy","Dodgers","","1B","4.90",".88",".53",".20",".01",".14",".70",".49",".04",".02","1.08","1.13","7.77","12.04","8.85","13301"
"Joc Pederson","Dodgers","LAD @ CHC","LF","4.97",".94",".51",".24",".03",".16",".68",".49",".06",".04",".84",".98","7.70","11.93","8.89","11899"
"Max Muncy","Dodgers","LAD @ CHC","1B","4.87",".89",".54",".19",".02",".14",".71",".47",".04",".03","1.05","1.14","7.73","11.97","8.83","13301"
"Khris Davis","Athletics","OAK @ SD","DH","4.45",".91",".46",".18",".01",".27",".61",".72",".01",".01",".53","1.29","7.62","11.91","8.82","9112"
"Carlos Santana","Phillies","STL @ PHI","1B","4.31",".95",".52",".22",".02",".20",".59",".70",".02",".02",".68",".65","7.62","11.90","8.81","2396"
"Kris Bryant","Cubs","LAD @ CHC","3B","4.62","1.09",".63",".25",".03",".18",".64",".47",".04",".03",".65","1.15","7.59","11.76","8.94","15429"
"Kris Bryant","Cubs","","3B","4.41",".99",".58",".22",".03",".15",".61",".54",".04",".02",".84","1.02","7.62","11.81","8.83","15429"
"Danny Valencia","Orioles","BAL @ WSH","3B","4.54","1.18",".75",".21",".01",".20",".61",".69",".02",".01",".40",".87","7.47","11.67","8.87","6364"
"Chris Iannetta","Rockies","NYM @ COL","C","4.06",".97",".51",".25",".00",".21",".62",".66",".01",".01",".62",".86","7.55","11.78","8.75","8267"
"Alex Bregman","Astros","TB @ HOU","3B","4.48","1.06",".60",".29",".03",".14",".68",".49",".09",".06",".59",".83","7.53","11.67","8.85","17678"
"Justin Turner","Dodgers","LAD @ CHC","3B","4.76","1.08",".69",".26",".01",".12",".62",".59",".03",".02",".78",".64","7.54","11.73","8.78","5235"
"Jose Ramirez","Indians","CWS @ CLE","3B","4.36","1.07",".58",".32",".02",".15",".56",".59",".10",".05",".53",".67","7.49","11.65","8.83","13510"
"Joc Pederson","Dodgers","","LF","5.02",".90",".51",".23",".02",".14",".68",".46",".07",".04",".91",".99","7.55","11.69","8.67","11899"
"Anthony Rizzo","Cubs","LAD @ CHC","1B","4.30",".93",".52",".21",".02",".19",".58",".65",".03",".02",".67",".73","7.44","11.61","8.62","3473"
"Jake Lamb","Diamondbacks","ARI @ LAA","3B","4.59",".91",".48",".19",".02",".22",".58",".62",".03",".02",".64","1.26","7.43","11.57","8.61","13329"
"Gleyber Torres","Yankees","SEA @ NYY","2B","4.25","1.08",".67",".20",".02",".20",".59",".63",".09",".05",".36","1.02","7.34","11.44","8.72","16997"
"Andrew McCutchen","Giants","MIA @ SF","RF","4.44","1.06",".66",".24",".03",".14",".64",".58",".05",".03",".58",".83","7.38","11.48","8.66","9847"
"Niko Goodrum","Tigers","DET @ CIN","1B","4.32",".99",".55",".21",".02",".21",".56",".62",".10",".06",".40","1.07","7.34","11.44","8.67","12092"
"Joey Votto","Reds","DET @ CIN","1B","4.36","1.04",".71",".16",".01",".16",".65",".53",".02",".01",".75",".68","7.37","11.45","8.60","4314"
"Scott Schebler","Reds","DET @ CIN","RF","4.57","1.04",".60",".19",".02",".23",".65",".51",".05",".03",".43",".98","7.32","11.37","8.66","12225"
"Corban Joseph","Orioles","BAL @ WSH","2b","4.86","1.26",".83",".28",".01",".15",".66",".50",".05",".02",".36",".58","7.24","11.24","8.71","5503"
"Christian Yelich","Brewers","MIL @ PIT","LF","4.67","1.23",".83",".27",".03",".12",".64",".43",".08",".05",".49",".90","7.25","11.23","8.71","11477"
"Eric Hosmer","Padres","OAK @ SD","1B","4.42","1.14",".74",".22",".01",".17",".65",".50",".04",".03",".52",".62","7.27","11.29","8.63","3516"
"Cody Bellinger","Dodgers","LAD @ CHC","1B","4.42",".85",".47",".18",".03",".17",".58",".61",".05",".03",".79","1.13","7.34","11.44","8.44","15998"
"Carlos Correa","Astros","TB @ HOU","SS","4.28",".99",".58",".23",".01",".18",".57",".67",".03",".02",".57","1.10","7.27","11.36","8.48","14162"
"Curtis Granderson","Blue Jays","ATL @ TOR","LF","4.53",".92",".44",".23",".03",".22",".61",".49",".04",".02",".62","1.09","7.30","11.31","8.50","4747"
"Buster Posey","Giants","MIA @ SF","C","4.54","1.26",".84",".30",".01",".11",".68",".48",".03",".02",".48",".47","7.20","11.17","8.61","9166"
"Eric Thames","Brewers","MIL @ PIT","1B","4.78",".99",".56",".22",".02",".19",".64",".45",".06",".04",".59","1.23","7.25","11.22","8.51","3711"
"Austin Meadows","Pirates","MIL @ PIT","CF","4.58","1.08",".69",".22",".06",".11",".59",".46",".16",".09",".47","1.01","7.16","11.09","8.57","15672"
