"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","STL @ WSH",".48","7.13","28.13","5.45","3.03","1.12",".06","1.25","1.68","9.94","30.96","49.18","28.98","3137"
"Jacob deGrom","Mets","NYM @ LAD",".34","6.45","26.25","5.42","3.27","1.11",".06",".99","1.90","7.86","24.17","39.91","22.44","10954"
"Zack Godley","Diamondbacks","SD @ ARI",".52","6.41","26.46","5.46","3.58","1.15",".17",".55","2.39","7.16","23.06","39.11","21.55","14862"
"Vince Velasquez","Phillies","PHI @ MIA",".43","6.20","25.82","5.55","3.82","1.05",".19",".48","2.27","6.20","20.30","35.02","18.86","11189"
"Alex Wood","Dodgers","NYM @ LAD",".38","6.26","25.35","5.53","3.75","1.08",".06",".64","1.56","5.99","20.85","34.73","19.07","13781"
"Dallas Keuchel","Astros","MIN @ HOU",".49","6.61","27.42","6.25","4.04","1.41",".11",".69","1.92","5.83","19.97","34.70","18.58","9434"
"Erasmo Ramirez","Mariners","BAL @ SEA",".49","6.27","25.54","6.04","3.82","1.19",".09",".95","1.24","5.63","19.50","32.95","17.84","10314"
"Cole Hamels","Cubs","CHC @ MIL",".42","6.30","26.67","6.04","3.78","1.18",".09",".99","2.31","6.08","18.47","32.87","17.28","4972"
"Michael Fulmer","Tigers","DET @ CWS",".38","5.86","24.44","5.53","3.57","1.03",".20",".72","1.86","5.97","18.66","32.09","17.26","13218"
"Diego Castillo","Rays","TB @ TOR",".40","5.89","24.77","5.68","3.31","1.27",".13",".98","1.90","5.67","17.46","30.52","16.16","17496"
"Reynaldo Lopez","White Sox","DET @ CWS",".33","6.13","25.84","5.87","3.70","1.21",".14",".81","2.14","5.46","17.17","30.60","15.89","16400"
"Jack Flaherty","Cardinals","STL @ WSH",".27","5.71","24.50","5.49","3.46",".99",".09",".94","2.42","6.00","16.67","29.91","15.60","17479"
"Adam Plutko","Indians","KC @ CLE",".40","5.82","24.63","5.94","3.54","1.27",".10","1.03","1.82","5.49","16.54","29.45","15.34","15846"
"Trevor Cahill","Athletics","NYY @ OAK",".35","5.66","24.41","5.30","3.29","1.08",".08",".85","2.67","5.54","15.97","29.00","14.95","6249"
"Sean Reid-Foley","Blue Jays","TB @ TOR",".27","5.45","23.76","5.37","3.10","1.17",".11",".99","2.60","6.14","15.83","28.86","14.95","17034"
"Tyler Anderson","Rockies","SF @ COL",".36","5.79","24.58","6.02","3.69","1.27",".14",".93","1.72","5.39","16.13","28.84","14.94","12880"
"Madison Bumgarner","Giants","SF @ COL",".32","5.64","24.23","5.85","3.40","1.21",".17","1.07","1.94","5.47","15.37","27.78","14.29","5524"
"Touki Toussaint","Braves","BOS @ ATL",".30","5.66","24.53","5.66","3.58","1.28",".09",".70","2.45","5.28","15.04","27.80","14.06","16929"
"Zach Davies","Brewers","CHC @ MIL",".30","5.99","26.08","6.39","3.94","1.29",".15","1.01","2.31","5.18","14.51","27.63","13.61","13183"
"Trevor Williams","Pirates","CIN @ PIT",".40","6.04","25.66","6.13","4.32","1.15",".12",".55","2.09","4.17","14.55","27.08","13.39","16977"
"Jose Urena","Marlins","PHI @ MIA",".29","6.25","26.50","6.37","4.36","1.21",".21",".59","2.09","4.21","14.31","26.86","13.16","11589"
"Nathan Eovaldi","Red Sox","BOS @ ATL",".38","6.02","25.53","7.07","4.75","1.50",".16",".65","1.03","4.31","14.30","26.49","13.14","9132"
"CC Sabathia","Yankees","NYY @ OAK",".34","5.51","24.06","5.66","3.43","1.27",".11",".86","2.38","4.60","13.23","25.01","12.34","404"
"Jeffrey Springs","Rangers","LAA @ TEX",".32","5.26","23.81","5.68","3.61","1.18",".12",".76","3.00","4.76","11.75","23.89","11.29","17677"
"Matt Shoemaker","Angels","LAA @ TEX",".31","5.34","23.70","5.82","3.43","1.20",".12","1.08","2.41","4.81","12.11","23.68","11.43","4776"
"Matt Harvey","Reds","CIN @ PIT",".32","5.98","25.86","6.94","4.64","1.37",".16",".76","1.68","3.73","11.77","23.41","10.86","11713"
"Kyle Gibson","Twins","MIN @ HOU",".25","5.58","24.73","6.00","3.87","1.21",".10",".82","2.66","4.34","11.49","23.35","10.84","10123"
"Jakob Junis","Royals","KC @ CLE",".26","5.54","24.46","6.35","3.85","1.24",".09","1.18","2.03","4.21","10.89","21.94","10.14","13619"
"Bryan Mitchell","Padres","SD @ ARI",".20","5.02","22.96","5.65","3.48","1.21",".24",".71","2.86","3.80","8.69","19.17","8.34","11479"
"Josh Rogers","Orioles","BAL @ SEA",".23","5.45","24.12","6.66","4.23","1.19",".08","1.16","1.74","3.38","8.74","18.87","8.06","18510"
