,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Shin-Soo Choo,Shin-Soo Choo,Rangers,0.278,0.278,0.0,1.0,1474
1,Shin-Soo Choo,Adrian Beltre,Rangers,0.278,0.28600000000000003,1.9774151511861984,0.16720746574060016,473
2,Shin-Soo Choo,Rougned Odor,Rangers,0.278,0.25,2.9110627059053877,0.09047583907160897,483
3,Shin-Soo Choo,Nomar Mazara,Rangers,0.278,0.26,1.1169777889391148,0.1720630091382491,268
4,Shin-Soo Choo,Jose Trevino,Rangers,0.278,0.25,5.96293738489871,0.13451311404979743,3
5,Shin-Soo Choo,Robinson Chirinos,Rangers,0.278,0.23199999999999998,4.960685132646459,0.12423608139555256,346
6,Shin-Soo Choo,Delino DeShields,Rangers,0.278,0.243,0.5187707182320445,0.27083085019569775,315
7,Shin-Soo Choo,Ryan Rua,Rangers,0.278,0.23600000000000002,3.6210882364802197,0.13607536310799695,155
8,Shin-Soo Choo,Renato Nunez,Rangers,0.278,0.22399999999999998,3.7493957182320443,0.1348669965714641,12
9,Shin-Soo Choo,Juan Centeno,Rangers,0.278,0.22699999999999998,5.06203648399781,0.13356505522042805,10
10,Shin-Soo Choo,Willie Calhoun,Rangers,0.278,0.272,4.067699289660616,0.13870857629932123,31
11,Shin-Soo Choo,Isiah Kiner-Falefa,Rangers,0.278,0.267,2.7749941224873638,0.13981085163093218,88
12,Shin-Soo Choo,Elvis Andrus,Rangers,0.278,0.276,0.9199785059646426,0.1359863283234444,522
13,Shin-Soo Choo,Jurickson Profar,Rangers,0.278,0.239,2.7147322566935825,0.13742032983492564,162
14,Shin-Soo Choo,Ronald Guzman,Rangers,0.278,0.23399999999999999,4.511956992741848,0.1348368131807778,95
15,Shin-Soo Choo,Joey Gallo,Rangers,0.278,0.205,3.543184298478958,0.1359214756090363,288
16,Shin-Soo Choo,Carlos Tocci,Rangers,0.278,0.204,4.503167269956182,0.13220900731370547,53
17,Shin-Soo Choo,Drew Robinson,Rangers,0.278,0.203,4.947433508929719,0.13159112575320825,80
18,Shin-Soo Choo,Carlos Perez,Rangers,0.278,0.217,4.966127177562188,0.13280002947751673,16
19,Shin-Soo Choo,Hanser Alberto,Rangers,0.278,0.18600000000000003,4.223099986524727,0.13096010841207384,48
20,Adrian Beltre,Adrian Beltre,Rangers,0.28600000000000003,0.28600000000000003,0.0,1.0,2943
21,Adrian Beltre,Rougned Odor,Rangers,0.28600000000000003,0.25,0.9336475547191894,0.1473968986654175,539
22,Adrian Beltre,Nomar Mazara,Rangers,0.28600000000000003,0.26,0.8604373622470836,0.17419152396830087,289
23,Adrian Beltre,Jose Trevino,Rangers,0.28600000000000003,0.25,3.985522233712512,0.13855258801873838,3
24,Adrian Beltre,Robinson Chirinos,Rangers,0.28600000000000003,0.23199999999999998,2.9832699814602606,0.12285017614542967,337
25,Adrian Beltre,Delino DeShields,Rangers,0.28600000000000003,0.243,1.458644432954154,0.12977797267933489,295
26,Adrian Beltre,Ryan Rua,Rangers,0.28600000000000003,0.23600000000000002,1.6436730852940213,0.06053607779962526,202
27,Adrian Beltre,Renato Nunez,Rangers,0.28600000000000003,0.22399999999999998,1.771980567045846,0.13890647054040506,5
28,Adrian Beltre,Juan Centeno,Rangers,0.28600000000000003,0.22699999999999998,3.0846213328116114,0.137604529189369,5
29,Adrian Beltre,Willie Calhoun,Rangers,0.28600000000000003,0.272,2.0902841384744173,0.14274805026826218,27
30,Adrian Beltre,Isiah Kiner-Falefa,Rangers,0.28600000000000003,0.267,0.7975789713011654,0.14385032559987312,59
31,Adrian Beltre,Elvis Andrus,Rangers,0.28600000000000003,0.276,1.0574366452215558,0.12140111409561474,1008
32,Adrian Beltre,Jurickson Profar,Rangers,0.28600000000000003,0.239,0.7373171055073842,0.14320627441268807,260
33,Adrian Beltre,Ronald Guzman,Rangers,0.28600000000000003,0.23399999999999999,2.53454184155565,0.13887628714971878,67
34,Adrian Beltre,Joey Gallo,Rangers,0.28600000000000003,0.205,1.5657691472927597,0.13748153039034333,199
35,Adrian Beltre,Carlos Tocci,Rangers,0.28600000000000003,0.204,2.525752118769984,0.1362484812826464,53
36,Adrian Beltre,Drew Robinson,Rangers,0.28600000000000003,0.203,2.9700183577435206,0.13563059972214922,68
37,Adrian Beltre,Carlos Perez,Rangers,0.28600000000000003,0.217,2.98871202637599,0.13683950344645768,9
38,Adrian Beltre,Hanser Alberto,Rangers,0.28600000000000003,0.18600000000000003,2.245684835338529,0.13499958238101478,60
39,Rougned Odor,Rougned Odor,Rangers,0.25,0.25,0.0,1.0,651
40,Rougned Odor,Nomar Mazara,Rangers,0.25,0.26,1.794084916966273,0.1340501820297265,356
41,Rougned Odor,Jose Trevino,Rangers,0.25,0.25,3.0518746789933227,0.1321029768079096,3
42,Rougned Odor,Robinson Chirinos,Rangers,0.25,0.23199999999999998,2.049622426741071,0.08838028183714816,335
43,Rougned Odor,Delino DeShields,Rangers,0.25,0.243,2.3922919876733433,0.1108002468685844,341
44,Rougned Odor,Ryan Rua,Rangers,0.25,0.23600000000000002,0.710025530574832,0.04300343879361063,243
45,Rougned Odor,Renato Nunez,Rangers,0.25,0.22399999999999998,0.8383330123266566,0.13245685932957627,0
46,Rougned Odor,Juan Centeno,Rangers,0.25,0.22699999999999998,2.150973778092422,0.13115491797854023,3
47,Rougned Odor,Willie Calhoun,Rangers,0.25,0.272,1.156636583755228,0.1362984390574334,34
48,Rougned Odor,Isiah Kiner-Falefa,Rangers,0.25,0.267,0.13606858341802397,0.13707609829095563,65
