,Name1,Name2,Team,BAvg1,BAvg2,BO Differance,Corr,Count
0,Lourdes Gurriel,Lourdes Gurriel,Blue Jays,0.294,0.294,0.0,1.0,45
1,Lourdes Gurriel,Richard Urena,Blue Jays,0.294,0.23199999999999998,1.2234826999432782,0.14194501897619966,3
2,Lourdes Gurriel,Kevin Pillar,Blue Jays,0.294,0.262,0.6038456150182121,0.1453224374765817,37
3,Lourdes Gurriel,Dwight Smith Jr.,Blue Jays,0.294,0.295,0.7159019484600879,0.14809089185979885,11
4,Lourdes Gurriel,Randal Grichuk,Blue Jays,0.294,0.248,0.2933561422164681,0.1444615994593185,29
5,Lourdes Gurriel,Teoscar Hernandez,Blue Jays,0.294,0.242,1.4909998686112207,0.14250534399672576,43
6,Lourdes Gurriel,Yangervis Solarte,Blue Jays,0.294,0.261,1.600412781483802,0.14404574927773484,40
7,Lourdes Gurriel,Giovanny Urshela,Blue Jays,0.294,0.225,1.6940537529591975,0.14076810186132016,0
8,Lourdes Gurriel,Dalton Pompey,Blue Jays,0.294,0.221,0.27797965116279055,0.14210547961290698,5
9,Lourdes Gurriel,Brandon Drury,Blue Jays,0.294,0.264,0.682096714654854,0.1454049824748911,3
10,Lourdes Gurriel,Gift Ngoepe,Blue Jays,0.294,0.18100000000000002,2.223482699943278,0.13626708495619966,1
11,Lourdes Gurriel,Billy McKinney,Blue Jays,0.294,0.35100000000000003,1.3506261180679786,0.15225857660132378,5
12,Lourdes Gurriel,Danny Jansen,Blue Jays,0.294,0.33299999999999996,1.3276955602536997,0.15070295472790696,4
13,Lourdes Gurriel,Steve Pearce,Blue Jays,0.294,0.256,0.16195090439276516,0.14532188904320414,8
14,Lourdes Gurriel,Kendrys Morales,Blue Jays,0.294,0.26899999999999996,0.7527131782945737,0.1457604634324031,41
15,Lourdes Gurriel,Aledmys Diaz,Blue Jays,0.294,0.27399999999999997,0.15239304706722745,0.1469162643977363,35
16,Lourdes Gurriel,Justin Smoak,Blue Jays,0.294,0.23399999999999999,0.48637272440282064,0.14300015927942333,37
17,Lourdes Gurriel,Curtis Granderson,Blue Jays,0.294,0.252,2.600838333598113,0.1420609144821508,33
18,Lourdes Gurriel,Josh Donaldson,Blue Jays,0.294,0.275,2.2930447144658137,0.1444507524827966,11
19,Lourdes Gurriel,Devon Travis,Blue Jays,0.294,0.276,0.10788541506237515,0.147145240921497,19
20,Lourdes Gurriel,Luke Maile,Blue Jays,0.294,0.203,2.5290340990155515,0.13783735746533027,21
21,Lourdes Gurriel,Russell Martin,Blue Jays,0.294,0.25,0.17731111882448225,0.14477590864502138,27
22,Lourdes Gurriel,Anthony Alford,Blue Jays,0.294,0.136,1.3276955602536997,0.13337817978790695,5
23,Richard Urena,Richard Urena,Blue Jays,0.23199999999999998,0.23199999999999998,0.0,1.0,41
24,Richard Urena,Kevin Pillar,Blue Jays,0.23199999999999998,0.262,0.6196370849250661,0.132277911659618,37
25,Richard Urena,Dwight Smith Jr.,Blue Jays,0.23199999999999998,0.295,0.5075807514831903,0.13531369659640077,6
26,Richard Urena,Randal Grichuk,Blue Jays,0.23199999999999998,0.248,0.9301265577268101,0.13067634511688114,7
27,Richard Urena,Teoscar Hernandez,Blue Jays,0.23199999999999998,0.242,2.714482568554499,0.12802023577292543,37
28,Richard Urena,Yangervis Solarte,Blue Jays,0.23199999999999998,0.261,2.8238954814270802,0.12956064105393453,12
29,Richard Urena,Giovanny Urshela,Blue Jays,0.23199999999999998,0.225,0.4705710530159193,0.1292018318451205,6
30,Richard Urena,Dalton Pompey,Blue Jays,0.23199999999999998,0.221,0.9455030487804876,0.12828354188329266,3
31,Richard Urena,Brandon Drury,Blue Jays,0.23199999999999998,0.264,0.5413859852884242,0.13254713874130855,0
32,Richard Urena,Gift Ngoepe,Blue Jays,0.23199999999999998,0.18100000000000002,1.0,0.12470081494,0
33,Richard Urena,Billy McKinney,Blue Jays,0.23199999999999998,0.35100000000000003,2.574108818011257,0.13777346837752347,4
34,Richard Urena,Danny Jansen,Blue Jays,0.23199999999999998,0.33299999999999996,0.10421286031042154,0.13913668471170731,4
35,Richard Urena,Steve Pearce,Blue Jays,0.23199999999999998,0.256,1.3854336043360433,0.13083678081940378,4
36,Richard Urena,Kendrys Morales,Blue Jays,0.23199999999999998,0.26899999999999996,1.976195878237852,0.13127535520860273,35
37,Richard Urena,Aledmys Diaz,Blue Jays,0.23199999999999998,0.27399999999999997,1.0710896528760507,0.1327947172184633,8
38,Richard Urena,Justin Smoak,Blue Jays,0.23199999999999998,0.23399999999999999,1.7098554243460988,0.128515051055623,40
39,Richard Urena,Curtis Granderson,Blue Jays,0.23199999999999998,0.252,3.8243210335413913,0.12757580625835047,17
40,Richard Urena,Josh Donaldson,Blue Jays,0.23199999999999998,0.275,3.516527414409092,0.12996564425899626,27
41,Richard Urena,Devon Travis,Blue Jays,0.23199999999999998,0.276,1.3313681150056533,0.13266013269769666,7
42,Richard Urena,Luke Maile,Blue Jays,0.23199999999999998,0.203,1.3055513990722734,0.12627108744913063,22
43,Richard Urena,Russell Martin,Blue Jays,0.23199999999999998,0.25,1.046171581118796,0.13071380801117824,19
44,Richard Urena,Anthony Alford,Blue Jays,0.23199999999999998,0.136,0.10421286031042154,0.1218119097717073,5
45,Kevin Pillar,Kevin Pillar,Blue Jays,0.262,0.262,0.0,1.0,674
46,Kevin Pillar,Dwight Smith Jr.,Blue Jays,0.262,0.295,0.11205633344187582,0.14208824674321718,29
