"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Eddie Rosario","Twins","TEX @ MIN","LF","4.55","1.48",".85",".31",".05",".27",".84",".81",".09",".06",".20",".60","9.47","14.78","11.37","12155"
"Nolan Arenado","Rockies","MIA @ COL","3B","4.57","1.24",".65",".30",".03",".26",".81",".84",".02",".02",".69",".71","9.55","14.90","11.11","9777"
"Mike Trout","Angels","TOR @ LAA","CF","4.44","1.14",".60",".21",".03",".30",".78",".64",".14",".06",".75",".82","9.54","14.78","11.15","10155"
"J.D. Martinez","Red Sox","SEA @ BOS","DH","4.40","1.26",".66",".29",".02",".29",".74",".84",".02",".01",".42",".99","8.96","14.01","10.54","6184"
"Trevor Story","Rockies","MIA @ COL","SS","4.45","1.10",".54",".29",".04",".23",".68",".85",".07",".04",".56","1.27","8.78","13.73","10.22","12564"
"Mookie Betts","Red Sox","SEA @ BOS","RF","4.61","1.27",".71",".35",".02",".19",".76",".59",".14",".06",".49",".52","8.75","13.57","10.38","13611"
"Freddie Freeman","Braves","BAL @ ATL","1B","4.37","1.21",".65",".30",".03",".24",".72",".66",".04",".02",".66",".58","8.77","13.62","10.28","5361"
"Charlie Blackmon","Rockies","MIA @ COL","CF","4.67","1.25",".81",".20",".07",".18",".81",".65",".11",".06",".57",".92","8.72","13.56","10.32","7859"
"Bryce Harper","Nationals","PHI @ WSH","RF","4.56","1.02",".55",".18",".01",".28",".79",".64",".07",".04",".79","1.01","8.81","13.69","10.18","11579"
"Rhys Hoskins","Phillies","PHI @ WSH","LF","4.75","1.04",".55",".21",".01",".27",".80",".67",".05",".03",".77","1.09","8.80","13.70","10.17","16472"
"Anthony Rizzo","Cubs","CHC @ CIN","1B","4.55","1.07",".56",".25",".01",".25",".70",".73",".04",".02",".71",".55","8.61","13.42","9.97","3473"
"Kyle Schwarber","Cubs","CHC @ CIN","LF","4.34",".94",".46",".15",".02",".31",".71",".77",".03",".02",".67","1.05","8.55","13.36","9.86","16478"
