"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Giancarlo Stanton","Yankees","BAL @ NYY","DH","4.52","1.21",".62",".23",".01",".34",".80",".81",".02",".01",".46","1.06","9.17","14.32","10.75","4949"
"Jose Ramirez","Indians","CLE @ MIN","3B","4.67","1.24",".68",".32",".03",".21",".71",".72",".11",".07",".57",".54","8.92","13.88","10.51","13510"
"Freddie Freeman","Braves","MIA @ ATL","1B","4.40","1.23",".67",".29",".02",".25",".70",".67",".04",".02",".62",".73","8.74","13.58","10.28","5361"
"Mike Trout","Angels","LAA @ TB","CF","4.58",".96",".55",".16",".03",".22",".69",".58",".12",".05","1.05","1.12","8.80","13.63","10.13","10155"
"Francisco Lindor","Indians","CLE @ MIN","SS","4.90","1.27",".76",".28",".02",".21",".70",".61",".09",".05",".42",".66","8.28","12.86","9.87","12916"
"Edwin Encarnacion","Indians","CLE @ MIN","DH","4.57","1.03",".59",".17",".00",".27",".66",".79",".01",".01",".60",".91","8.21","12.84","9.52","2151"
"Alex Bregman","Astros","HOU @ SEA","3B","4.64","1.18",".64",".30",".02",".22",".70",".60",".09",".06",".43",".71","8.16","12.68","9.67","17678"
"Anthony Rizzo","Cubs","CHC @ PIT","1B","4.86","1.19",".70",".25",".02",".21",".71",".56",".04",".03",".61",".59","8.15","12.65","9.61","3473"
"Scooter Gennett","Reds","CIN @ DET","2B","4.72","1.33",".85",".25",".03",".20",".71",".66",".03",".02",".30",".84","7.96","12.41","9.55","10339"
"Joey Votto","Reds","CIN @ DET","1B","4.61","1.15",".74",".23",".02",".16",".68",".58",".02",".01",".81",".64","8.04","12.48","9.39","4314"
"Max Muncy","Dodgers","MIL @ LAD","1B","4.39",".96",".51",".18",".01",".26",".66",".61",".03",".02",".73","1.00","8.01","12.46","9.28","13301"
"Ronald Acuna","Braves","MIA @ ATL","LF","4.62","1.16",".70",".25",".02",".19",".64",".49",".16",".11",".42","1.17","7.79","12.05","9.32","18401"
"Wilmer Flores","Mets","NYM @ WSH","1B","4.49","1.23",".70",".26",".00",".26",".62",".72",".02",".01",".22",".53","7.74","12.09","9.24","5827"
"Nelson Cruz","Mariners","HOU @ SEA","DH","4.34","1.10",".65",".18",".01",".26",".62",".70",".01",".01",".43",".91","7.71","12.03","9.08","2434"
"Joc Pederson","Dodgers","MIL @ LAD","LF","4.61","1.03",".51",".26",".01",".25",".66",".54",".05",".03",".50",".84","7.73","11.99","9.07","11899"
"Cody Bellinger","Dodgers","MIL @ LAD","1B","4.18",".95",".47",".21",".02",".25",".63",".68",".04",".03",".51","1.02","7.71","12.03","8.97","15998"
"Manny Machado","Dodgers","MIL @ LAD","SS","4.49","1.16",".71",".22",".01",".22",".69",".54",".05",".04",".39",".61","7.56","11.74","8.99","11493"
"Eugenio Suarez","Reds","CIN @ DET","3B","4.52","1.08",".65",".19",".03",".21",".56",".74",".02",".02",".48",".98","7.55","11.80","8.88","12552"
"Eddie Rosario","Twins","CLE @ MIN","LF","4.46","1.23",".75",".24",".03",".21",".58",".62",".08",".06",".23",".97","7.48","11.65","9.03","12155"
"Aaron Hicks","Yankees","BAL @ NYY","CF","4.31","1.02",".61",".21",".03",".18",".62",".64",".07",".05",".56",".73","7.54","11.75","8.84","5297"
"Starling Marte","Pirates","CHC @ PIT","CF","4.48","1.19",".81",".20",".03",".14",".59",".48",".21",".10",".36",".85","7.46","11.55","9.04","9241"
"Nicholas Castellanos","Tigers","CIN @ DET","RF","4.48","1.22",".71",".28",".07",".16",".65",".58",".03",".02",".32",".80","7.45","11.60","8.93","11737"
"Gleyber Torres","Yankees","BAL @ NYY","2B","4.21","1.12",".71",".21",".02",".18",".63",".66",".09",".05",".34",".91","7.46","11.65","8.87","16997"
"Javier Baez","Cubs","CHC @ PIT","2B","4.53","1.24",".79",".26",".02",".17",".57",".69",".08",".05",".22","1.05","7.41","11.57","8.92","12979"
"Ozzie Albies","Braves","MIA @ ATL","2B","4.50","1.18",".72",".26",".05",".16",".67",".51",".12",".06",".27",".71","7.40","11.49","8.90","16556"
"Evan Gattis","Astros","HOU @ SEA","DH","4.54","1.07",".59",".20",".01",".27",".59",".69",".01",".01",".32",".88","7.43","11.60","8.79","11003"
"Kyle Schwarber","Cubs","CHC @ PIT","LF","4.32",".93",".51",".15",".03",".23",".60",".64",".03",".02",".61","1.13","7.47","11.65","8.69","16478"
"Whit Merrifield","Royals","KC @ CWS","2B","4.77","1.24",".83",".28",".02",".11",".58",".45",".18",".09",".41",".77","7.37","11.40","8.92","11281"
"Jose Abreu","White Sox","KC @ CWS","1B","4.35","1.16",".70",".24",".02",".21",".60",".62",".01",".01",".37",".75","7.36","11.46","8.76","15676"
"Lucas Duda","Royals","KC @ CWS","1B","4.44",".96",".50",".20",".01",".25",".57",".64",".01",".00",".54","1.09","7.36","11.48","8.58","2502"
"Daniel Palka","White Sox","KC @ CWS","DH","4.15","1.00",".55",".16",".03",".26",".59",".67",".05",".04",".30","1.24","7.31","11.41","8.64","14897"
"Didi Gregorius","Yankees","BAL @ NYY","SS","4.41","1.20",".76",".24",".02",".18",".61",".63",".03",".02",".30",".47","7.21","11.26","8.64","6012"
"Bryce Harper","Nationals","NYM @ WSH","RF","4.28",".88",".51",".17",".01",".20",".60",".61",".04",".03",".71","1.20","7.33","11.42","8.46","11579"
"Brett Gardner","Yankees","BAL @ NYY","LF","4.63","1.15",".80",".20",".03",".13",".69",".47",".09",".04",".49",".60","7.24","11.23","8.64","9927"
"Greg Bird","Yankees","BAL @ NYY","1B","4.10",".91",".47",".21",".01",".23",".61",".66",".01",".01",".52",".92","7.29","11.39","8.46","14131"
"Jesus Aguilar","Brewers","MIL @ LAD","1B","4.48",".94",".51",".18",".00",".26",".59",".64",".01",".00",".50","1.30","7.27","11.34","8.48","11342"
"Rajai Davis","Indians","CLE @ MIN","CF","4.78","1.16",".84",".23",".02",".07",".59",".45",".28",".11",".32",".92","7.17","11.10","8.71","3708"
"Trea Turner","Nationals","NYM @ WSH","SS","4.48","1.16",".84",".18",".03",".11",".58",".44",".27",".11",".29","1.00","7.15","11.07","8.72","16252"
"Charlie Blackmon","Rockies","COL @ STL","CF","4.71","1.19",".81",".20",".04",".15",".56",".43",".11",".06",".44",".88","7.12","11.00","8.61","7859"
"Tommy Pham","Rays","LAA @ TB","CF","4.49",".97",".64",".15",".02",".17",".58",".53",".14",".07",".53","1.31","7.15","11.11","8.45","2967"
"Yoan Moncada","White Sox","KC @ CWS","2B","4.58",".97",".58",".16",".04",".19",".58",".51",".12",".06",".47","1.43","7.14","11.08","8.46","17232"
"Avisail Garcia","White Sox","KC @ CWS","RF","4.25","1.20",".80",".19",".03",".19",".57",".64",".03",".02",".25",".94","7.05","11.00","8.49","5760"
"Salvador Perez","Royals","KC @ CWS","C","4.55","1.09",".64",".21",".00",".24",".58",".68",".01",".01",".24",".87","7.05","11.03","8.39","7304"
"Randal Grichuk","Blue Jays","TOR @ OAK","RF","4.68","1.05",".51",".28",".03",".23",".57",".55",".04",".03",".26","1.20","7.03","10.94","8.37","10243"
"Yasmani Grandal","Dodgers","MIL @ LAD","C","4.08",".93",".51",".19",".00",".23",".56",".63",".02",".01",".52",".90","7.08","11.05","8.25","11368"
"Anthony Rendon","Nationals","NYM @ WSH","3B","4.38","1.15",".72",".27",".01",".15",".60",".58",".03",".02",".38",".83","7.02","10.94","8.35","12861"
"Kevin Kiermaier","Rays","LAA @ TB","CF","4.60","1.02",".66",".18",".05",".14",".57",".46",".13",".08",".48","1.17","6.99","10.83","8.34","11038"
"Brian Dozier","Dodgers","MIL @ LAD","2B","4.29",".92",".53",".19",".01",".19",".59",".61",".06",".03",".49",".88","7.01","10.94","8.19","9810"
"Niko Goodrum","Tigers","CIN @ DET","1B","4.37","1.03",".57",".26",".06",".14",".53",".54",".09",".05",".40",".99","6.96","10.82","8.28","12092"
"Lorenzo Cain","Brewers","MIL @ LAD","CF","4.69","1.12",".80",".20",".01",".11",".55",".36",".16",".07",".59",".93","6.94","10.70","8.33","9077"
"Ian Happ","Cubs","CHC @ PIT","CF","4.22",".94",".55",".17",".03",".19",".48",".60",".06",".04",".52","1.35","6.94","10.82","8.17","17919"
