"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mike Trout","Angels","LAA @ BAL","CF","4.73","1.30",".66",".20",".02",".42",".98",".85",".15",".06",".84",".75","11.55","17.94","13.43","10155"
"J.D. Martinez","Red Sox","BOS @ NYY","DH","4.56","1.16",".57",".19",".01",".39",".75",".88",".01",".01",".47","1.27","9.33","14.59","10.91","6184"
"Mookie Betts","Red Sox","BOS @ NYY","RF","4.77","1.24",".69",".25",".01",".29",".78",".61",".17",".07",".54",".72","9.32","14.44","11.03","13611"
"Eric Thames","Brewers","MIL @ CIN","1B","4.74","1.04",".51",".21",".02",".30",".82",".66",".07",".04",".70","1.21","9.04","14.06","10.47","3711"
"Scott Schebler","Reds","MIL @ CIN","RF","4.73","1.13",".55",".24",".03",".31",".78",".69",".05",".03",".55",".99","8.93","13.90","10.45","12225"
"Joey Votto","Reds","MIL @ CIN","1B","4.50","1.10",".65",".21",".01",".23",".81",".66",".02",".02",".96",".63","8.98","13.97","10.34","4314"
"Anthony Rizzo","Cubs","MIN @ CHC","1B","4.31","1.09",".55",".23",".02",".29",".72",".82",".03",".02",".60",".66","8.90","13.91","10.34","3473"
"Brian Dozier","Twins","MIN @ CHC","2B","4.55","1.09",".56",".23",".02",".28",".70",".80",".07",".04",".59",".76","8.87","13.85","10.34","9810"
"Justin Upton","Angels","LAA @ BAL","LF","4.64","1.09",".56",".18",".00",".34",".69",".83",".05",".03",".51","1.23","8.86","13.84","10.34","5222"
"Giancarlo Stanton","Yankees","BOS @ NYY","DH","4.41","1.01",".47",".16",".01",".38",".69",".84",".01",".01",".53","1.38","8.81","13.77","10.21","4949"
"Aaron Judge","Yankees","BOS @ NYY","RF","4.52",".95",".47",".16",".01",".31",".77",".70",".05",".03",".79","1.51","8.84","13.77","10.16","15640"
"Shin-Soo Choo","Rangers","CWS @ TEX","DH","4.80","1.14",".69",".22",".01",".21",".79",".63",".05",".04",".86",".82","8.81","13.69","10.22","3174"
"Nelson Cruz","Mariners","KC @ SEA","DH","4.27","1.07",".55",".17",".00",".35",".72",".83",".01",".01",".51",".94","8.72","13.64","10.14","2434"
"Scooter Gennett","Reds","MIL @ CIN","2B","4.40","1.27",".75",".24",".02",".26",".71",".89",".02",".01",".32",".92","8.59","13.47","10.16","10339"
"Bryce Harper","Nationals","WSH @ PHI","RF","4.57",".94",".47",".16",".01",".30",".71",".70",".05",".03",".82","1.13","8.72","13.57","10.02","11579"
"Rhys Hoskins","Phillies","WSH @ PHI","LF","4.46","1.06",".53",".21",".02",".30",".76",".68",".04",".03",".56","1.07","8.57","13.35","9.99","16472"
"Eddie Rosario","Twins","MIN @ CHC","LF","4.66","1.29",".75",".27",".03",".24",".69",".75",".07",".04",".28",".80","8.42","13.14","10.05","12155"
"Travis Shaw","Brewers","MIL @ CIN","3B","4.54","1.08",".55",".26",".01",".26",".69",".75",".03",".02",".60",".78","8.47","13.22","9.85","11982"
"Jesus Aguilar","Brewers","MIL @ CIN","1B","4.64","1.15",".62",".24",".01",".28",".72",".75",".01",".01",".47","1.06","8.41","13.14","9.86","11342"
"Manny Machado","Orioles","LAA @ BAL","SS","4.40","1.19",".68",".18",".00",".32",".66",".73",".05",".03",".36",".73","8.37","13.05","9.92","11493"
"Paul Goldschmidt","Diamondbacks","SF @ ARI","1B","4.37","1.08",".57",".24",".03",".23",".68",".65",".06",".03",".66","1.06","8.39","13.05","9.80","9218"
"Joey Gallo","Rangers","CWS @ TEX","LF","4.13",".82",".32",".16",".02",".33",".70",".77",".04",".02",".67","1.30","8.42","13.16","9.63","14128"
"Eduardo Escobar","Twins","MIN @ CHC","SS","4.77","1.22",".66",".29",".04",".22",".76",".66",".05",".03",".38",".89","8.29","12.91","9.81","6153"
"Freddie Freeman","Braves","ATL @ STL","1B","4.50","1.28",".77",".27",".02",".23",".65",".62",".04",".02",".48",".66","8.22","12.77","9.79","5361"
"Elvis Andrus","Rangers","CWS @ TEX","SS","4.69","1.28",".83",".30",".04",".11",".72",".65",".14",".08",".44",".50","8.15","12.70","9.73","8709"
"Randal Grichuk","Blue Jays","DET @ TOR","RF","4.67","1.01",".44",".28",".03",".27",".70",".67",".05",".03",".50","1.36","8.23","12.81","9.58","10243"
"Teoscar Hernandez","Blue Jays","DET @ TOR","RF","4.55","1.02",".49",".27",".04",".22",".67",".60",".13",".08",".54","1.15","8.19","12.71","9.60","13066"
"Kyle Schwarber","Cubs","MIN @ CHC","LF","4.11",".91",".42",".14",".03",".32",".64",".76",".03",".02",".56","1.23","8.19","12.80","9.48","16478"
"Jose Altuve","Astros","HOU @ TB","2B","4.72","1.35",".92",".26",".02",".15",".67",".52",".14",".07",".45",".73","8.02","12.43","9.68","5417"
"Yoan Moncada","White Sox","CWS @ TEX","2B","4.82","1.04",".60",".20",".05",".20",".69",".54",".13",".07",".63","1.36","8.09","12.54","9.50","17232"
"Jose Abreu","White Sox","CWS @ TEX","1B","4.59","1.24",".73",".29",".02",".20",".66",".70",".01",".01",".40",".69","7.95","12.41","9.44","15676"
"Nomar Mazara","Rangers","CWS @ TEX","RF","4.57","1.16",".72",".22",".02",".20",".66",".76",".01",".01",".50",".78","7.95","12.44","9.35","14553"
"Mitch Haniger","Mariners","KC @ SEA","RF","4.37","1.02",".56",".20",".02",".25",".67",".72",".05",".03",".50","1.01","7.97","12.45","9.31","14274"
"Ryan Braun","Brewers","MIL @ CIN","1B","4.44","1.10",".62",".25",".02",".21",".60",".70",".09",".06",".46",".80","7.92","12.36","9.35","3410"
"Trea Turner","Nationals","WSH @ PHI","SS","4.67","1.13",".76",".19",".04",".14",".65",".47",".28",".11",".42","1.09","7.83","12.12","9.42","16252"
"Jose Ramirez","Indians","CLE @ OAK","3B","4.63","1.16",".66",".31",".03",".16",".61",".64",".11",".06",".45",".47","7.84","12.21","9.30","13510"
"Alex Bregman","Astros","HOU @ TB","3B","4.83","1.15",".68",".27",".02",".18",".67",".50",".09",".06",".55",".85","7.83","12.12","9.28","17678"
"Eugenio Suarez","Reds","MIL @ CIN","3B","4.28",".98",".55",".18",".01",".23",".60",".75",".03",".02",".65",".95","7.84","12.26","9.09","12552"
"Brad Miller","Brewers","MIL @ CIN","1B","4.86","1.06",".59",".25",".02",".19",".73",".47",".04",".03",".69","1.15","7.83","12.12","9.15","12775"
"Adrian Beltre","Rangers","CWS @ TEX","3B","4.46","1.17",".75",".24",".02",".17",".62",".75",".01",".00",".53",".59","7.71","12.07","9.08","639"
"Adam Jones","Orioles","LAA @ BAL","CF","4.51","1.26",".81",".18",".01",".26",".69",".65",".01",".01",".23",".79","7.63","11.91","9.17","6368"
"Aaron Hicks","Yankees","BOS @ NYY","CF","4.63",".99",".59",".18",".02",".20",".70",".53",".10",".07",".62","1.01","7.72","11.98","9.03","5297"
"Matt Carpenter","Cardinals","ATL @ STL","3B","4.63",".96",".48",".24",".02",".21",".69",".50",".02",".01",".78",".90","7.74","12.00","8.95","8090"
"Michael Conforto","Mets","NYM @ MIA","CF","4.53","1.00",".60",".19",".03",".18",".59",".68",".03",".02",".71",".94","7.68","11.97","8.92","16376"
"Kole Calhoun","Angels","LAA @ BAL","RF","4.84","1.12",".70",".17",".02",".23",".76",".55",".03",".02",".43",".86","7.62","11.86","9.02","11200"
"Starling Marte","Pirates","PIT @ SD","CF","4.72","1.21",".80",".21",".04",".16",".57",".45",".21",".09",".38",".98","7.56","11.68","9.17","9241"
"Brandon Nimmo","Mets","NYM @ MIA","CF","4.86","1.07",".67",".21",".06",".14",".67",".42",".07",".05",".80","1.10","7.66","11.84","9.00","12927"
"Marcell Ozuna","Cardinals","ATL @ STL","LF","4.32","1.16",".75",".18",".02",".21",".59",".76",".02",".01",".35",".75","7.51","11.77","8.92","10324"
"Trey Mancini","Orioles","LAA @ BAL","LF","4.63","1.13",".69",".17",".02",".25",".67",".60",".01",".01",".38","1.23","7.53","11.73","8.95","15149"
"Jose Martinez","Cardinals","ATL @ STL","1B","4.42","1.16",".76",".22",".01",".19",".64",".63",".03",".02",".48",".60","7.54","11.75","8.92","7996"
"Albert Pujols","Angels","LAA @ BAL","1B","4.53","1.11",".69",".14",".00",".28",".59",".77",".01",".01",".27",".58","7.45","11.68","8.85","1177"
"Daniel Palka","White Sox","CWS @ TEX","DH","4.50","1.03",".58",".19",".05",".21",".57",".70",".05",".03",".43","1.14","7.49","11.69","8.82","14897"
"Michael Brantley","Indians","CLE @ OAK","LF","4.74","1.30",".86",".28",".02",".14",".64",".57",".08",".04",".30",".35","7.42","11.54","8.96","4106"
"Anthony Rendon","Nationals","WSH @ PHI","3B","4.47","1.07",".64",".25",".01",".17",".57",".68",".04",".02",".56",".91","7.45","11.63","8.74","12861"
"Jean Segura","Mariners","KC @ SEA","SS","4.47","1.26",".88",".23",".03",".12",".64",".52",".17",".08",".27",".68","7.36","11.43","8.94","5933"
"Kyle Seager","Mariners","KC @ SEA","3B","4.17",".99",".51",".22",".01",".25",".63",".65",".01",".01",".44",".74","7.44","11.61","8.70","9785"
"Avisail Garcia","White Sox","CWS @ TEX","RF","4.70","1.26",".85",".24",".03",".14",".68",".56",".04",".03",".36",".91","7.36","11.46","8.84","5760"
"Adam Eaton","Nationals","WSH @ PHI","LF","4.78","1.21",".81",".21",".05",".14",".64",".40",".10",".05",".52",".83","7.38","11.39","8.87","11205"
"Francisco Lindor","Indians","CLE @ OAK","SS","4.84","1.15",".70",".26",".02",".17",".64",".52",".08",".05",".40",".60","7.34","11.41","8.76","12916"
"Carlos Santana","Phillies","WSH @ PHI","1B","4.25",".95",".53",".20",".02",".20",".58",".66",".02",".01",".62",".56","7.36","11.49","8.55","2396"
"Andrew McCutchen","Giants","SF @ ARI","RF","4.54","1.06",".61",".25",".03",".17",".60",".53",".05",".03",".55","1.09","7.32","11.36","8.62","9847"
"Juan Soto","Nationals","WSH @ PHI","LF","4.38",".94",".55",".16",".02",".20",".53",".65",".05",".04",".63","1.05","7.33","11.42","8.54","20123"
"Evan Gattis","Astros","HOU @ TB","DH","4.50","1.00",".56",".18",".01",".25",".56",".75",".01",".01",".37","1.06","7.27","11.39","8.54","11003"
"Justin Turner","Dodgers","COL @ LAD","3B","4.31","1.08",".64",".25",".01",".19",".60",".56",".03",".02",".50",".58","7.26","11.29","8.57","5235"
"Odubel Herrera","Phillies","WSH @ PHI","CF","4.36","1.25",".85",".22",".04",".15",".57",".58",".06",".04",".31",".80","7.17","11.16","8.67","11476"
"Andrew Benintendi","Red Sox","BOS @ NYY","LF","4.67","1.03",".66",".17",".02",".17",".66",".50",".11",".06",".50","1.03","7.25","11.25","8.57","17901"
"Gleyber Torres","Yankees","BOS @ NYY","2B","4.20","1.00",".58",".17",".01",".24",".56",".62",".08",".05",".37","1.20","7.22","11.25","8.54","16997"
"Derek Dietrich","Marlins","NYM @ MIA","LF","4.61","1.16",".72",".23",".06",".15",".63",".44",".02",".01",".55",".85","7.21","11.17","8.59","10542"
"Justin Smoak","Blue Jays","DET @ TOR","1B","4.24",".86",".46",".21",".00",".19",".62",".59",".01",".01",".80",".92","7.31","11.38","8.36","9054"
"Ian Happ","Cubs","MIN @ CHC","CF","4.00",".88",".42",".17",".03",".26",".51",".68",".06",".04",".44","1.54","7.23","11.28","8.45","17919"
"Jason Heyward","Cubs","MIN @ CHC","RF","4.52","1.16",".75",".23",".04",".15",".66",".49",".06",".04",".39",".64","7.15","11.10","8.55","4940"
"Brandon Belt","Giants","SF @ ARI","1B","4.63","1.04",".58",".25",".03",".17",".65",".49",".03",".02",".52","1.25","7.17","11.13","8.44","10264"
"Rougned Odor","Rangers","CWS @ TEX","2b","4.35",".93",".52",".19",".04",".18",".56",".68",".08",".06",".43",".95","7.15","11.18","8.38","12282"
"Mark Trumbo","Orioles","LAA @ BAL","DH","4.30",".99",".56",".15",".00",".28",".58",".67",".01",".01",".32","1.19","7.12","11.13","8.39","6876"
"Steve Pearce","Red Sox","BOS @ NYY","LF","4.46","1.02",".61",".19",".01",".22",".56",".65",".02",".01",".44",".91","7.12","11.12","8.38","9957"
"Addison Russell","Cubs","MIN @ CHC","SS","4.23","1.06",".63",".23",".03",".17",".58",".67",".03",".02",".37","1.06","7.08","11.06","8.36","14106"
"Luis Valbuena","Angels","LAA @ BAL","1B","4.31",".89",".46",".15",".00",".28",".57",".64",".01",".01",".43","1.13","7.11","11.10","8.30","4969"
"Chris Davis","Orioles","LAA @ BAL","1B","4.19",".80",".39",".11",".00",".30",".60",".60",".01",".01",".54","1.55","7.12","11.11","8.23","9272"
"Asdrubal Cabrera","Mets","NYM @ MIA","2B","4.65","1.16",".76",".25",".02",".13",".60",".58",".02",".01",".43",".70","7.02","10.94","8.36","4962"
"Ozzie Albies","Braves","ATL @ STL","2B","4.60","1.14",".72",".22",".05",".15",".63",".48",".13",".07",".20",".66","6.98","10.83","8.45","16556"
"Ben Zobrist","Cubs","MIN @ CHC","RF","4.42","1.03",".64",".22",".03",".14",".64",".53",".03",".01",".56",".72","7.06","10.98","8.30","7435"
"Buster Posey","Giants","SF @ ARI","C","4.43","1.16",".75",".28",".01",".12",".55",".58",".03",".01",".49",".61","7.02","10.92","8.34","9166"
"Josh Reddick","Astros","HOU @ TB","RF","4.62","1.11",".73",".21",".03",".14",".55",".57",".05",".03",".49",".84","7.01","10.92","8.34","3892"
"Ryon Healy","Mariners","KC @ SEA","1B","4.06","1.07",".62",".20",".01",".24",".56",".68",".01",".01",".22",".90","6.97","10.90","8.30","15447"
"Edwin Encarnacion","Indians","CLE @ OAK","DH","4.52",".96",".57",".17",".00",".21",".57",".66",".01",".00",".50",".85","7.02","10.97","8.19","2151"
"Kendrys Morales","Blue Jays","DET @ TOR","DH","4.34",".97",".57",".22",".00",".18",".60",".60",".01",".01",".52",".88","6.96","10.86","8.13","8610"
"Tommy Pham","Cardinals","ATL @ STL","CF","4.10",".96",".63",".13",".02",".17",".51",".55",".12",".06",".53",".94","6.93","10.77","8.20","2967"
"Nolan Arenado","Rockies","COL @ LAD","3B","4.39",".94",".51",".19",".01",".22",".53",".55",".02",".02",".54",".98","6.96","10.82","8.15","9777"
"Justin Bour","Marlins","NYM @ MIA","1B","4.29",".90",".55",".16",".01",".18",".54",".60",".01",".00",".70",".80","6.98","10.88","8.08","9744"
"Albert Almora Jr.","Cubs","MIN @ CHC","CF","4.63","1.30",".85",".28",".04",".13",".61",".43",".04",".02",".22",".84","6.79","10.52","8.30","14109"
"Tucker Barnhart","Reds","MIL @ CIN","C","4.61","1.04",".68",".23",".01",".12",".71",".44",".03",".01",".58",".81","6.88","10.69","8.08","10200"
"Leonys Martin","Tigers","DET @ TOR","CF","4.66","1.09",".69",".25",".03",".12",".55",".43",".14",".07",".37","1.07","6.80","10.53","8.18","11846"
"Jurickson Profar","Rangers","CWS @ TEX","SS","4.24",".97",".57",".23",".04",".12",".59",".57",".04",".03",".52",".48","6.85","10.68","8.03","10815"
"Yangervis Solarte","Blue Jays","DET @ TOR","2B","4.44","1.04",".63",".25",".01",".16",".58",".56",".02",".01",".48",".58","6.83","10.64","8.05","5352"
"Yonder Alonso","Indians","CLE @ OAK","1B","4.41","1.04",".65",".23",".00",".17",".54",".59",".01",".01",".46",".69","6.80","10.61","8.03","2530"
"Joe Mauer","Twins","MIN @ CHC","1B","4.87","1.17",".82",".25",".01",".08",".64",".39",".01",".01",".65",".67","6.77","10.47","8.04","1857"
"Jose Bautista","Mets","NYM @ MIA","DH","4.76",".82",".50",".17",".01",".14",".64",".42",".05",".03",".85",".98","6.85","10.61","7.86","1887"
"Matt Kemp","Dodgers","COL @ LAD","LF","4.11","1.04",".60",".23",".00",".21",".52",".63",".01",".01",".27",".90","6.69","10.45","7.95","5631"
"Marwin Gonzalez","Astros","HOU @ TB","LF","4.39","1.02",".64",".20",".02",".16",".51",".58",".05",".03",".41","1.15","6.70","10.45","7.96","5497"
"Nick Ahmed","Diamondbacks","SF @ ARI","SS","4.49","1.01",".59",".22",".06",".14",".64",".50",".06",".05",".33",".87","6.70","10.43","7.97","12147"
"Chris Taylor","Dodgers","COL @ LAD","SS","4.52","1.03",".62",".24",".04",".13",".55",".39",".10",".05",".47","1.12","6.70","10.36","8.00","13757"
"Eric Hosmer","Padres","PIT @ SD","1B","4.24","1.06",".65",".22",".01",".17",".52",".52",".03",".02",".41",".83","6.68","10.39","7.96","3516"
"Dee Gordon","Mariners","KC @ SEA","2B","4.58","1.25",".98",".18",".05",".04",".53",".37",".27",".11",".19",".67","6.56","10.14","8.17","8203"
"Dylan Cozens","Phillies","WSH @ PHI","DH","4.04",".78",".38",".12",".02",".26",".50",".62",".06",".04",".40","1.60","6.71","10.47","7.82","15115"
"Xander Bogaerts","Red Sox","BOS @ NYY","SS","4.35","1.04",".67",".18",".01",".17",".51",".56",".05",".03",".40",".97","6.64","10.33","7.90","12161"
"Miguel Andujar","Yankees","BOS @ NYY","3B","4.10","1.06",".61",".23",".01",".20",".51",".57",".04",".02",".24",".88","6.61","10.30","7.92","15878"
"Whit Merrifield","Royals","KC @ SEA","2B","4.57","1.14",".75",".26",".02",".10",".49",".39",".17",".09",".32",".81","6.60","10.19","8.03","11281"
"Kevin Pillar","Blue Jays","DET @ TOR","CF","4.14","1.02",".61",".28",".02",".11",".53",".55",".09",".05",".39",".64","6.63","10.33","7.87","12434"
"Robbie Grossman","Twins","MIN @ CHC","DH","4.45",".98",".62",".22",".02",".12",".54",".53",".03",".02",".62",".77","6.67","10.38","7.81","5254"
"Keon Broxton","Brewers","MIL @ CIN","CF","4.21",".85",".50",".16",".03",".16",".45",".51",".16",".08",".48","1.56","6.66","10.33","7.86","9253"
"Cesar Hernandez","Phillies","WSH @ PHI","2B","4.58","1.11",".82",".15",".05",".09",".61",".33",".11",".07",".53",".89","6.62","10.21","7.97","10556"
"David Peralta","Diamondbacks","SF @ ARI","LF","4.27","1.09",".71",".21",".06",".11",".50",".60",".04",".03",".35",".85","6.59","10.28","7.89","2136"
"Ronald Acuna","Braves","ATL @ STL","LF","4.19","1.08",".72",".19",".02",".16",".47",".57",".13",".08",".22",".96","6.56","10.22","7.95","18401"
"Scott Kingery","Phillies","WSH @ PHI","SS","4.15","1.05",".68",".20",".03",".14",".50",".60",".11",".06",".24",".94","6.56","10.24","7.89","17975"
"Jonathan Schoop","Orioles","LAA @ BAL","2B","3.98",".99",".58",".17",".00",".24",".54",".58",".01",".01",".26",".94","6.59","10.29","7.84","11265"
"J.T. Realmuto","Marlins","NYM @ MIA","C","4.39","1.12",".74",".23",".04",".11",".55",".53",".05",".02",".36",".74","6.57","10.24","7.89","11739"
"Danny Valencia","Orioles","LAA @ BAL","3B","4.08","1.02",".64",".16",".01",".21",".55",".53",".02",".01",".36",".94","6.57","10.23","7.82","6364"
"Matt Olson","Athletics","CLE @ OAK","1B","4.11",".83",".41",".18",".01",".24",".50",".58",".02",".01",".45","1.28","6.62","10.33","7.72","14344"
"Yadier Molina","Cardinals","ATL @ STL","C","4.21","1.05",".70",".18",".01",".16",".52",".61",".05",".03",".33",".52","6.55","10.23","7.80","7007"
"Enrique Hernandez","Dodgers","COL @ LAD","SS","4.41",".88",".47",".20",".02",".19",".59",".48",".03",".02",".49",".99","6.61","10.27","7.73","10472"
"Brian Anderson","Marlins","NYM @ MIA","RF","4.50","1.10",".73",".23",".03",".11",".61",".42",".02",".02",".46",".86","6.54","10.14","7.81","18289"
"Max Kepler","Twins","MIN @ CHC","RF","4.34",".94",".55",".22",".03",".14",".53",".58",".03",".02",".46",".74","6.55","10.23","7.70","12144"
"Wilmer Flores","Mets","NYM @ MIA","1B","4.44","1.03",".67",".21",".01",".13",".51",".65",".02",".01",".40",".57","6.52","10.20","7.70","5827"
"Jesse Winker","Reds","MIL @ CIN","RF","4.19",".97",".63",".21",".01",".12",".45",".58",".03",".02",".62",".65","6.55","10.20","7.68","13590"
"Gorkys Hernandez","Giants","SF @ ARI","LF","4.74","1.08",".72",".23",".03",".11",".55",".37",".12",".07",".40","1.31","6.49","10.03","7.83","4146"
"Ian Kinsler","Angels","LAA @ BAL","2B","4.20",".93",".56",".17",".01",".20",".52",".53",".08",".04",".35",".47","6.51","10.14","7.72","6195"
"Nicholas Castellanos","Tigers","DET @ TOR","RF","4.45","1.13",".67",".30",".02",".14",".47",".58",".02",".02",".24","1.03","6.44","10.04","7.75","11737"
"Mitch Garver","Twins","MIN @ CHC","C","4.23",".93",".54",".22",".01",".16",".50",".58",".02",".01",".47","1.01","6.51","10.15","7.63","15161"
"Mike Zunino","Mariners","KC @ SEA","C","3.83",".77",".37",".15",".00",".26",".53",".61",".01",".01",".42","1.36","6.53","10.21","7.57","13265"
"Manny Pina","Brewers","MIL @ CIN","C","4.33","1.01",".61",".24",".01",".15",".49",".59",".02",".01",".40",".73","6.47","10.11","7.66","2829"
