"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Justin Verlander","Astros","CWS @ HOU",".59","7.50","29.25","5.74","3.57","1.14",".19",".84","1.51","9.60","32.28","51.05","30.33","8700"
"Shelby Miller","Diamondbacks","SD @ ARI",".41","6.30","26.29","5.87","3.78","1.27",".21",".61","2.17","6.34","19.98","34.77","18.61","10197"
"Matt Boyd","Tigers","TEX @ DET",".40","6.57","28.00","6.48","4.23","1.26",".19",".80","2.53","5.51","17.23","31.63","16.24","15440"
"Luke Weaver","Cardinals","STL @ SF",".36","6.48","27.32","6.33","4.34","1.27",".20",".53","2.24","4.99","16.95","30.87","15.79","16918"
"Johnny Cueto","Giants","STL @ SF",".34","5.71","23.46","5.06","3.42","1.01",".13",".50","1.74","5.16","17.89","30.02","16.33","6893"
"Eric Lauer","Padres","SD @ ARI",".31","5.85","25.48","5.98","3.71","1.34",".25",".69","2.53","5.23","14.83","27.99","13.93","19316"
"Jhoulys Chacin","Brewers","ATL @ MIL",".35","5.69","24.51","5.52","3.60","1.18",".10",".64","2.48","4.55","14.27","26.44","13.24","2608"
"Jeremy Hellickson","Nationals","MIA @ WSH",".41","5.58","23.20","5.54","3.50","1.20",".06",".77","1.42","4.20","14.94","25.86","13.54","4371"
"Jaime Barria","Angels","LAA @ SEA",".32","5.68","24.26","6.14","3.78","1.08",".11","1.16","1.67","4.66","13.67","25.22","12.57","18356"
"Carlos Rodon","White Sox","CWS @ HOU",".19","5.42","23.80","5.58","3.37","1.22",".09",".91","2.50","5.04","13.14","24.99","12.34","16137"
"Max Fried","Braves","ATL @ MIL",".26","4.80","20.93","4.67","2.91",".95",".09",".72","2.40","5.08","13.61","24.37","12.84","13743"
"Pablo Lopez","Marlins","MIA @ WSH",".26","5.65","24.85","6.26","3.70","1.25",".08","1.23","2.21","4.88","12.59","24.61","11.82","17085"
"Marco Gonzales","Mariners","LAA @ SEA",".32","5.18","21.96","5.13","3.18","1.01",".06",".89","1.77","4.13","13.11","23.22","11.99","15467"
"Yovani Gallardo","Rangers","TEX @ DET",".33","5.76","25.05","6.79","4.45","1.28",".30",".76","1.61","3.84","11.60","23.01","10.72","8173"
"Aaron Slegers","Twins","BAL @ MIN",".32","5.38","22.95","6.19","3.89","1.17",".08","1.05","1.06","3.66","11.74","21.61","10.61","15231"
"Andrew Cashner","Orioles","BAL @ MIN",".35","5.75","25.51","6.26","3.77","1.46",".18",".86","2.63","3.66","10.46","21.97","9.78","8782"
