"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Justin Verlander","Astros","COL @ HOU",".51","7.21","28.58","5.78","3.46","1.22",".15",".95","1.62","8.60","28.60","46.00","26.70","8700"
"Corey Kluber","Indians","CLE @ CIN",".55","6.70","26.97","5.77","3.82","1.06",".10",".79","1.63","7.45","25.11","41.30","23.33","2429"
"J.A. Happ","Yankees","TB @ NYY",".48","6.51","26.83","6.07","4.22","1.04",".11",".71","1.95","6.68","21.73","37.26","20.27","7410"
"James Paxton","Mariners","SEA @ OAK",".45","6.40","26.85","5.89","3.64","1.41",".11",".73","2.27","7.00","21.51","37.15","20.17","11828"
"Alex Wood","Dodgers","SF @ LAD",".48","6.11","24.98","5.68","3.79","1.14",".06",".69","1.54","6.26","20.95","35.15","19.31","13781"
"Anibal Sanchez","Braves","MIA @ ATL",".45","6.44","26.63","6.31","4.25","1.23",".19",".65","1.58","6.00","20.17","34.79","18.68","3284"
"Patrick Corbin","Diamondbacks","ARI @ TEX",".47","5.97","25.43","5.68","3.68","1.18",".14",".68","2.51","6.40","18.99","33.68","17.88","9323"
"Rick Porcello","Red Sox","BOS @ PHI",".40","6.07","25.56","6.00","3.74","1.12",".14",".99","1.85","6.15","18.58","32.49","17.28","2717"
"Nick Pivetta","Phillies","BOS @ PHI",".30","5.77","24.51","5.65","3.38","1.07",".09","1.11","2.01","6.43","17.97","31.46","16.75","15454"
"Blaine Hardy","Tigers","CWS @ DET",".39","6.08","25.43","6.40","4.22","1.20",".19",".79","1.33","5.34","17.36","30.53","15.98","6499"
"Jameson Taillon","Pirates","PIT @ MIN",".41","6.19","26.49","6.62","4.20","1.46",".19",".77","1.90","5.35","16.36","30.00","15.31","11674"
"Brett Kennedy","Padres","LAA @ SD",".37","6.10","25.50","5.81","3.84","1.15",".11",".71","1.99","4.83","16.49","29.29","15.13","17877"
"Gio Gonzalez","Nationals","WSH @ STL",".41","6.04","26.20","5.98","4.02","1.17",".09",".70","2.72","5.14","15.63","29.35","14.70","7448"
"German Marquez","Rockies","COL @ HOU",".26","5.92","25.45","6.20","3.85","1.28",".17",".89","2.09","5.13","14.76","27.49","13.75","15038"
"Jake Odorizzi","Twins","PIT @ MIN",".32","5.91","25.58","6.14","3.82","1.25",".16",".92","2.29","5.10","14.64","27.50","13.67","6397"
"Jaime Barria","Angels","LAA @ SD",".33","5.64","23.93","5.62","3.63","1.10",".12",".76","1.98","4.90","15.14","27.16","13.98","18356"
"Ryan Borucki","Blue Jays","TOR @ KC",".43","5.95","25.38","6.28","4.23","1.30",".23",".52","1.93","4.18","14.22","26.61","13.15","16350"
"Jose Quintana","Cubs","MIL @ CHC",".36","5.75","24.63","5.98","3.72","1.21",".08",".98","1.99","4.65","14.08","26.09","13.02","11423"
"John Gant","Cardinals","WSH @ STL",".30","5.62","24.54","5.71","3.70","1.17",".12",".72","2.57","4.64","13.36","25.55","12.49","13684"
"Trevor Richards","Marlins","MIA @ ATL",".25","5.59","24.55","6.30","4.04","1.43",".15",".68","2.10","4.89","13.15","25.41","12.36","19309"
"Lucas Giolito","White Sox","CWS @ DET",".33","5.87","25.52","6.06","3.81","1.24",".18",".83","2.47","4.39","13.02","25.27","12.16","15474"
"Mike Fiers","Athletics","SEA @ OAK",".29","5.94","25.42","6.31","4.06","1.28",".10",".86","1.92","4.16","13.08","24.85","12.00","7754"
"Andrew Cashner","Orioles","NYM @ BAL",".37","5.82","25.59","6.06","3.91","1.25",".10",".80","2.70","4.23","12.51","24.85","11.74","8782"
"Andrew Suarez","Giants","SF @ LAD",".23","5.46","23.68","6.10","3.59","1.15",".06","1.30","1.69","4.79","12.69","23.88","11.74","18300"
"Jason Vargas","Mets","NYM @ BAL",".30","5.34","23.67","6.25","3.83","1.12",".08","1.22","1.94","4.74","11.79","23.20","11.11","8044"
"Sal Romano","Reds","CLE @ CIN",".21","5.78","25.01","6.12","3.64","1.35",".08","1.06","2.15","3.96","11.53","22.70","10.55","13690"
"Jhoulys Chacin","Brewers","MIL @ CHC",".30","5.17","22.89","5.34","3.29","1.06",".10",".89","2.56","4.12","11.16","21.92","10.45","2608"
"Heath Fillmyer","Royals","TOR @ KC",".28","5.65","24.81","6.05","4.01","1.24",".10",".71","2.44","3.38","10.34","21.33","9.55","17466"
"Yovani Gallardo","Rangers","ARI @ TEX",".22","5.19","23.76","5.96","3.85","1.14",".20",".77","2.85","3.61","8.23","18.87","7.88","8173"
