,Name,ID,Position,Link,Start Year,End Year
8012,David Holmberg,7725,P,statss.aspx?playerid=7725&position=P,2013,2017
8014,Darren Holmes,95,P,statss.aspx?playerid=95&position=P,1990,2003
8030,Mike Holtz,920,P,statss.aspx?playerid=920&position=P,1996,2006
8072,Joe Horgan,2304,P,statss.aspx?playerid=2304&position=P,2004,2005
8082,Jeremy Horst,596,P,statss.aspx?playerid=596&position=P,2011,2013
8100,Tommy Hottovy,7542,P,statss.aspx?playerid=7542&position=P,2011,2012
8105,D.J. Houlton,3566,P,statss.aspx?playerid=3566&position=P,2005,2007
8106,T.J. House,9121,P,statss.aspx?playerid=9121&position=P,2014,2017
8120,James Houser,6113,P,statss.aspx?playerid=6113&position=P,2010,2010
8143,Ben Howard,1452,P,statss.aspx?playerid=1452&position=P,2002,2004
8169,J.P. Howell,8245,P,statss.aspx?playerid=8245&position=P,2005,2017
8173,Bob Howry,237,P,statss.aspx?playerid=237&position=P,1998,2010
8194,Jon Huber,3109,P,statss.aspx?playerid=3109&position=P,2006,2007
8205,Luke Hudson,1542,P,statss.aspx?playerid=1542&position=P,2002,2007
8218,Tim Hudson,921,P,statss.aspx?playerid=921&position=P,1999,2015
8223,David Huff,4257,P,statss.aspx?playerid=4257&position=P,2009,2016
8230,Dusty Hughes,6164,P,statss.aspx?playerid=6164&position=P,2009,2011
8254,Travis Hughes,2045,P,statss.aspx?playerid=2045&position=P,2004,2006
8259,Justin Huisman,1914,P,statss.aspx?playerid=1914&position=P,2004,2004
8265,Eric Hull,4660,P,statss.aspx?playerid=4660&position=P,2007,2007
8269,Philip Humber,8586,P,statss.aspx?playerid=8586&position=P,2006,2013
8319,Eric Hurley,8364,P,statss.aspx?playerid=8364&position=P,2008,2008
8320,Jason Hursh,14914,P,statss.aspx?playerid=14914&position=P,2016,2017
8353,Colt Hynes,7560,P,statss.aspx?playerid=7560&position=P,2013,2015
8358,Edgar Ibarra,5195,P,statss.aspx?playerid=5195&position=P,2015,2015
8360,Ryota Igarashi,10232,P,statss.aspx?playerid=10232&position=P,2010,2012
8361,Kei Igawa,7794,P,statss.aspx?playerid=7794&position=P,2007,2008
8388,Hideki Irabu,1255,P,statss.aspx?playerid=1255&position=P,1997,2002
8395,Phil Irwin,9489,P,statss.aspx?playerid=9489&position=P,2013,2014
8404,Kazuhisa Ishii,655,P,statss.aspx?playerid=655&position=P,2002,2005
8406,Jason Isringhausen,1158,P,statss.aspx?playerid=1158&position=P,1995,2012
8408,Hisashi Iwakuma,13048,P,statss.aspx?playerid=13048&position=P,2012,2017
8410,Hansel Izquierdo,522,P,statss.aspx?playerid=522&position=P,2002,2002
