,Date,Time,Stadium ID,Umpire ID,Umpire Name,Home Team,Visiting Team,Home Pitcher ID,Home Pitcher Name,Away Pitcher ID,Away Pitcher Name,HBO 1 ID,HBO 1 Name,HBO 1 Pos Key,HBO 2 ID,HBO 2 Name,HBO 2 Pos Key,HBO 3 ID,HBO 3 Name,HBO 3 Pos Key,HBO 4 ID,HBO 4 Name,HBO 4 Pos Key,HBO 5 ID,HBO 5 Name,HBO 5 Pos Key,HBO 6 ID,HBO 6 Name,HBO 6 Pos Key,HBO 7 ID,HBO 7 Name,HBO 7 Pos Key,HBO 8 ID,HBO 8 Name,HBO 8 Pos Key,HBO 9 ID,HBO 9 Name,HBO 9 Pos Key,ABO 1 ID,ABO 1 Name,ABO 1 Pos Key,ABO 2 ID,ABO 2 Name,ABO 2 Pos Key,ABO 3 ID,ABO 3 Name,ABO 3 Pos Key,ABO 4 ID,ABO 4 Name,ABO 4 Pos Key,ABO 5 ID,ABO 5 Name,ABO 5 Pos Key,ABO 6 ID,ABO 6 Name,ABO 6 Pos Key,ABO 7 ID,ABO 7 Name,ABO 7 Pos Key,ABO 8 ID,ABO 8 Name,ABO 8 Pos Key,ABO 9 ID,ABO 9 Name,ABO 9 Pos Key
1251,1993-07-16,N,STL09,demud901,Dana DeMuth,SLN,HOU,magrj001,Joe Magrane,kiled001,Darryl Kile,gilkb001,Bernard Gilkey,7,smito001,Ozzie Smith,6,jeffg001,Gregg Jefferies,3,zeilt001,Todd Zeile,5,lankr001,Ray Lankford,8,whitm001,Mark Whiten,9,alicl001,Luis Alicea,4,pagnt001,Tom Pagnozzi,2,magrj001,Joe Magrane,1,biggc001,Craig Biggio,4,gonzl001,Luis Gonzalez,7,bagwj001,Jeff Bagwell,3,anthe001,Eric Anthony,9,cedea001,Andujar Cedeno,6,servs002,Scott Servais,2,donnc001,Chris Donnels,5,finls001,Steve Finley,8,kiled001,Darryl Kile,1
1252,1993-07-17,N,BAL12,reedr901,Rick Reed,BAL,MIN,sutcr001,Rick Sutcliffe,tapak001,Kevin Tapani,andeb001,Brady Anderson,7,mclem001,Mark McLemore,5,devem001,Mike Devereaux,8,bainh001,Harold Baines,10,ripkc001,Cal Ripken,6,hoilc001,Chris Hoiles,2,segud001,David Segui,3,reynh001,Harold Reynolds,4,hammj001,Jeffrey Hammonds,9,macks001,Shane Mack,8,knobc001,Chuck Knoblauch,4,puckk001,Kirby Puckett,9,hrbek001,Kent Hrbek,3,winfd001,Dave Winfield,10,harpb001,Brian Harper,2,paglm001,Mike Pagliarulo,5,mccad001,Dave McCarty,7,mearp001,Pat Meares,6
1253,1993-07-17,D,BOS07,welkt901,Tim Welke,BOS,SEA,darwd001,Danny Darwin,bosic001,Chris Bosio,flets001,Scott Fletcher,4,hatcb001,Billy Hatcher,8,greem001,Mike Greenwell,7,dawsa001,Andre Dawson,10,coops001,Scott Cooper,5,zupcb001,Bob Zupcic,9,quinc001,Carlos Quintana,3,valej002,John Valentin,6,penat001,Tony Pena,2,vizqo001,Omar Vizquel,6,magad001,Dave Magadan,5,grifk002,Ken Griffey,8,buhnj001,Jay Buhner,9,martt002,Tino Martinez,3,newfm001,Marc Newfield,7,obrip001,Pete O'Brien,10,haseb001,Bill Haselman,2,amarr001,Rich Amaral,4
1254,1993-07-17,D,CLE07,johnm901,Mark Johnson,CLE,CAL,mutij001,Jeff Mutis,sprir001,Russ Springer,loftk001,Kenny Lofton,8,kirbw001,Wayne Kirby,9,baerc001,Carlos Baerga,4,bellj002,Albert Belle,7,sorrp001,Paul Sorrento,3,jeffr001,Reggie Jefferson,10,espia001,Alvaro Espinoza,5,fermf001,Felix Fermin,6,levij001,Jesse Levis,2,javis001,Stan Javier,7,curtc001,Chad Curtis,8,salmt001,Tim Salmon,9,davic001,Chili Davis,10,easld001,Damion Easley,5,snowj001,J.T. Snow,3,disag001,Gary Disarcina,6,corrr001,Rod Correia,4,tingr001,Ron Tingley,2
1255,1993-07-17,N,MIL05,roe-r901,Rocky Roe,MIL,CHA,navaj001,Jaime Navarro,mcdoj001,Jack McDowell,hamid001,Darryl Hamilton,9,younr001,Robin Yount,8,vaugg001,Greg Vaughn,10,reimk001,Kevin Reimer,7,surhb001,B.J. Surhoff,5,nilsd001,Dave Nilsson,2,jahaj001,John Jaha,3,bellj003,Juan Bell,6,spieb001,Bill Spiers,4,raint001,Tim Raines,7,coraj001,Joey Cora,4,thomf001,Frank Thomas,10,ventr001,Robin Ventura,5,burke001,Ellis Burks,9,pasqd001,Dan Pasqua,3,johnl001,Lance Johnson,8,lavam001,Mike LaValliere,2,guilo001,Ozzie Guillen,6
1256,1993-07-17,D,NYC16,fordd901,Dale Ford,NYA,OAK,abboj001,Jim Abbott,wittb001,Bobby Witt,boggw001,Wade Boggs,5,jamed001,Dion James,7,mattd001,Don Mattingly,3,tartd001,Danny Tartabull,10,oneip001,Paul O'Neill,9,willb002,Bernie Williams,8,stanm002,Mike Stanley,2,gallm001,Mike Gallego,4,owens001,Spike Owen,6,hendr001,Rickey Henderson,7,gateb001,Brent Gates,4,sierr001,Ruben Sierra,9,hendd001,Dave Henderson,8,steit001,Terry Steinbach,2,neelt001,Troy Neel,10,paquc001,Craig Paquette,5,bordm001,Mike Bordick,6,blanl001,Lance Blankenship,3
1257,1993-07-17,N,ARL01,mccol901,Larry McCoy,TEX,DET,pavlr001,Roger Pavlik,gullb001,Bill Gullickson,hulsd001,David Hulse,8,franj002,Julio Franco,10,palmr001,Rafael Palmeiro,3,gonzj002,Juan Gonzalez,7,strad002,Doug Strange,4,rodri001,Ivan Rodriguez,2,peltd001,Dan Peltier,9,diazm002,Mario Diaz,5,husoj001,Jeff Huson,6,philt001,Tony Phillips,7,whitl001,Lou Whitaker,4,frymt001,Travis Fryman,5,fielc001,Cecil Fielder,3,tettm001,Mickey Tettleton,9,gibsk001,Kirk Gibson,8,trama001,Alan Trammell,6,kreuc001,Chad Kreuter,2,livis001,Scott Livingstone,10
1258,1993-07-17,D,TOR02,tscht901,Tim Tschida,TOR,KCA,stott001,Todd Stottlemyre,appik001,Kevin Appier,whitd001,Devon White,8,alomr001,Roberto Alomar,4,molip001,Paul Molitor,10,cartj001,Joe Carter,9,olerj001,John Olerud,3,fernt001,Tony Fernandez,6,sprae001,Ed Sprague,5,wardt001,Turner Ward,7,bordp001,Pat Borders,2,josef001,Felix Jose,9,gagng001,Greg Gagne,6,mcrab001,Brian McRae,8,joynw001,Wally Joyner,3,gwync001,Chris Gwynn,7,mcrek001,Kevin McReynolds,10,maynb001,Brent Mayne,2,hiatp001,Phil Hiatt,5,lindj002,Jose Lind,4
1259,1993-07-17,N,ATL01,wintm901,Mike Winters,ATL,PIT,smolj001,John Smoltz,wagnp001,Paul Wagner,sandd001,Deion Sanders,8,blauj001,Jeff Blauser,6,pendt001,Terry Pendleton,5,justd001,David Justice,9,gantr001,Ron Gant,7,breas001,Sid Bream,3,olsog002,Greg Olson,2,lemkm001,Mark Lemke,4,smolj001,John Smoltz,1,garcc001,Carlos Garcia,4,bellj001,Jay Bell,6,marta001,Al Martin,7,clard001,Dave Clark,9,kingj001,Jeff King,5,folet001,Tom Foley,3,bulls001,Scott Bullett,8,print001,Tom Prince,2,wagnp001,Paul Wagner,1
1260,1993-07-17,D,CHI11,bonig901,Greg Bonin,CHN,COL,harkm001,Mike Harkey,reyna001,Armando Reynoso,vizcj001,Jose Vizcaino,6,sandr001,Ryne Sandberg,4,gracm001,Mark Grace,3,may-d001,Derrick May,7,sosas001,Sammy Sosa,8,wilkr001,Rick Wilkins,2,robek001,Kevin Roberson,9,buecs001,Steve Buechele,5,harkm001,Mike Harkey,1,colea001,Alex Cole,8,mejir001,Roberto Mejia,4,bichd001,Dante Bichette,9,galaa001,Andres Galarraga,3,hayec001,Charlie Hayes,5,clarj002,Jerald Clark,7,shead001,Danny Sheaffer,2,benaf001,Freddie Benavides,6,reyna001,Armando Reynoso,1
