,Date,Time,Stadium ID,Umpire ID,Umpire Name,Home Team,Visiting Team,Home Pitcher ID,Home Pitcher Name,Away Pitcher ID,Away Pitcher Name,HBO 1 ID,HBO 1 Name,HBO 1 Pos Key,HBO 2 ID,HBO 2 Name,HBO 2 Pos Key,HBO 3 ID,HBO 3 Name,HBO 3 Pos Key,HBO 4 ID,HBO 4 Name,HBO 4 Pos Key,HBO 5 ID,HBO 5 Name,HBO 5 Pos Key,HBO 6 ID,HBO 6 Name,HBO 6 Pos Key,HBO 7 ID,HBO 7 Name,HBO 7 Pos Key,HBO 8 ID,HBO 8 Name,HBO 8 Pos Key,HBO 9 ID,HBO 9 Name,HBO 9 Pos Key,ABO 1 ID,ABO 1 Name,ABO 1 Pos Key,ABO 2 ID,ABO 2 Name,ABO 2 Pos Key,ABO 3 ID,ABO 3 Name,ABO 3 Pos Key,ABO 4 ID,ABO 4 Name,ABO 4 Pos Key,ABO 5 ID,ABO 5 Name,ABO 5 Pos Key,ABO 6 ID,ABO 6 Name,ABO 6 Pos Key,ABO 7 ID,ABO 7 Name,ABO 7 Pos Key,ABO 8 ID,ABO 8 Name,ABO 8 Pos Key,ABO 9 ID,ABO 9 Name,ABO 9 Pos Key
0,2000-03-29,N,TOK01,marsr901,Randy Marsh,NYN,CHN,hampm001,Mike Hampton,liebj001,Jon Lieber,hendr001,Rickey Henderson,7,hamid001,Darryl Hamilton,8,alfoe001,Edgardo Alfonzo,4,piazm001,Mike Piazza,2,ventr001,Robin Ventura,5,belld001,Derek Bell,9,zeilt001,Todd Zeile,3,ordor001,Rey Ordonez,6,hampm001,Mike Hampton,1,youne001,Eric Young,4,bufod001,Damon Buford,8,gracm001,Mark Grace,3,sosas001,Sammy Sosa,9,rodrh001,Henry Rodriguez,7,andrs001,Shane Andrews,5,nievj002,Jose Nieves,6,giraj001,Joe Girardi,2,liebj001,Jon Lieber,1
1,2000-03-30,N,TOK01,herna901,Angel Hernandez,CHN,NYN,farnk001,Kyle Farnsworth,reedr002,Rick Reed,youne001,Eric Young,4,bufod001,Damon Buford,8,sosas001,Sammy Sosa,9,gracm001,Mark Grace,3,rodrh001,Henry Rodriguez,7,andrs001,Shane Andrews,5,husoj001,Jeff Huson,6,giraj001,Joe Girardi,2,farnk001,Kyle Farnsworth,1,hendr001,Rickey Henderson,7,hamid001,Darryl Hamilton,8,alfoe001,Edgardo Alfonzo,4,piazm001,Mike Piazza,2,ventr001,Robin Ventura,5,belld001,Derek Bell,9,zeilt001,Todd Zeile,3,ordor001,Rey Ordonez,6,reedr002,Rick Reed,1
2,2000-04-03,D,ATL02,hirsj901,John Hirschbeck,ATL,COL,maddg002,Greg Maddux,astap001,Pedro Astacio,veraq001,Quilvio Veras,4,sandr002,Reggie Sanders,7,jonec004,Chipper Jones,5,jordb001,Brian Jordan,9,galaa001,Andres Galarraga,3,jonea002,Andruw Jones,8,peree002,Eddie Perez,2,weisw001,Walt Weiss,6,maddg002,Greg Maddux,1,goodt001,Tom Goodwin,8,lansm001,Mike Lansing,4,walkl001,Larry Walker,9,cirij001,Jeff Cirillo,5,heltt001,Todd Helton,3,hammj001,Jeffrey Hammonds,7,peren001,Neifi Perez,6,maynb001,Brent Mayne,2,astap001,Pedro Astacio,1
3,2000-04-03,D,CIN08,marsr901,Randy Marsh,CIN,MIL,harnp001,Pete Harnisch,woods001,Steve Woodard,reesp001,Pokey Reese,4,larkb001,Barry Larkin,6,grifk002,Ken Griffey,8,bichd001,Dante Bichette,9,yound001,Dmitri Young,3,taube001,Ed Taubensee,2,boona001,Aaron Boone,5,tuckm001,Michael Tucker,7,harnp001,Pete Harnisch,1,grism001,Marquis Grissom,8,lorem001,Mark Loretta,6,burnj001,Jeromy Burnitz,9,jenkg001,Geoff Jenkins,7,hernj001,Jose Hernandez,5,barkk001,Kevin Barker,3,bellr002,Ronnie Belliard,4,blanh001,Henry Blanco,2,woods001,Steve Woodard,1
4,2000-04-03,N,MIA01,demud901,Dana DeMuth,FLO,SFN,ferna001,Alex Fernandez,hernl003,Livan Hernandez,castl001,Luis Castillo,4,gonza002,Alex Gonzalez,6,floyc001,Cliff Floyd,7,wilsp002,Preston Wilson,8,lowem001,Mike Lowell,5,millk005,Kevin Millar,3,browb003,Brant Brown,9,redmm001,Mike Redmond,2,ferna001,Alex Fernandez,1,benam001,Marvin Benard,8,muelb001,Bill Mueller,5,bondb001,Barry Bonds,7,kentj001,Jeff Kent,4,snowj001,J.T. Snow,3,burke001,Ellis Burks,9,aurir001,Rich Aurilia,6,estab001,Bobby Estalella,2,hernl003,Livan Hernandez,1
5,2000-04-03,N,MON02,mckej901,Jim McKean,MON,LAN,hermd001,Dustin Hermanson,browk001,Kevin Brown,bergp001,Peter Bergeron,8,vidrj001,Jose Vidro,4,whitr001,Rondell White,7,guerv001,Vladimir Guerrero,9,stevl001,Lee Stevens,3,barrm003,Michael Barrett,5,widgc001,Chris Widger,2,cabro001,Orlando Cabrera,6,hermd001,Dustin Hermanson,1,whitd001,Devon White,8,grudm001,Mark Grudzielanek,4,shefg001,Gary Sheffield,7,grees001,Shawn Green,9,karre001,Eric Karros,3,hundt001,Todd Hundley,2,belta001,Adrian Beltre,5,elstk001,Kevin Elster,6,browk001,Kevin Brown,1
6,2000-04-03,D,NYC17,hirsm901,Mark Hirschbeck,NYN,SDN,leita001,Al Leiter,hitcs001,Sterling Hitchcock,hendr001,Rickey Henderson,7,belld001,Derek Bell,9,alfoe001,Edgardo Alfonzo,4,piazm001,Mike Piazza,2,zeilt001,Todd Zeile,3,ventr001,Robin Ventura,5,moram002,Melvin Mora,8,ordor001,Rey Ordonez,6,leita001,Al Leiter,1,marta001,Al Martin,7,jackd003,Damian Jackson,6,gwynt001,Tony Gwynn,9,nevip001,Phil Nevin,5,klesr001,Ryan Klesko,3,boonb002,Bret Boone,4,river002,Ruben Rivera,8,hernc001,Carlos Hernandez,2,hitcs001,Sterling Hitchcock,1
7,2000-04-03,D,STL09,ripps901,Steve Rippley,SLN,CHN,kiled001,Darryl Kile,tapak001,Kevin Tapani,vinaf001,Fernando Vina,4,rente001,Edgar Renteria,6,lankr001,Ray Lankford,7,tatif001,Fernando Tatis,5,edmoj001,Jim Edmonds,8,paquc001,Craig Paquette,3,davie001,Eric Davis,9,mathm001,Mike Matheny,2,kiled001,Darryl Kile,1,youne001,Eric Young,4,gutir001,Ricky Gutierrez,6,sosas001,Sammy Sosa,9,gracm001,Mark Grace,3,rodrh001,Henry Rodriguez,7,andrs001,Shane Andrews,5,bufod001,Damon Buford,8,giraj001,Joe Girardi,2,tapak001,Kevin Tapani,1
8,2000-04-03,N,ANA01,mcclt901,Tim McClelland,ANA,NYA,hillk001,Ken Hill,herno001,Orlando Hernandez,erstd001,Darin Erstad,7,kenna001,Adam Kennedy,4,vaugm001,Mo Vaughn,3,salmt001,Tim Salmon,9,andeg001,Garret Anderson,8,glaut001,Troy Glaus,5,spies001,Scott Spiezio,10,molib001,Bengie Molina,2,disag001,Gary Disarcina,6,knobc001,Chuck Knoblauch,4,jeted001,Derek Jeter,6,oneip001,Paul O'Neill,9,willb002,Bernie Williams,10,martt002,Tino Martinez,3,leder001,Ricky Ledee,8,posaj001,Jorge Posada,2,spens001,Shane Spencer,7,bross001,Scott Brosius,5
9,2000-04-03,D,BAL12,shulj901,John Shulock,BAL,CLE,mussm001,Mike Mussina,colob001,Bartolo Colon,andeb001,Brady Anderson,8,deshd001,Delino DeShields,4,surhb001,B.J. Surhoff,7,bellj002,Albert Belle,9,bainh001,Harold Baines,10,ripkc001,Cal Ripken,5,clarw001,Will Clark,3,johnc002,Charles Johnson,2,bordm001,Mike Bordick,6,loftk001,Kenny Lofton,8,vizqo001,Omar Vizquel,6,alomr001,Roberto Alomar,4,ramim002,Manny Ramirez,9,thomj002,Jim Thome,3,sexsr001,Richie Sexson,10,justd001,David Justice,7,frymt001,Travis Fryman,5,aloms001,Sandy Alomar,2
