,Date,Time,Stadium ID,Umpire ID,Umpire Name,Home Team,Visiting Team,Home Pitcher ID,Home Pitcher Name,Away Pitcher ID,Away Pitcher Name,HBO 1 ID,HBO 1 Name,HBO 1 Pos Key,HBO 2 ID,HBO 2 Name,HBO 2 Pos Key,HBO 3 ID,HBO 3 Name,HBO 3 Pos Key,HBO 4 ID,HBO 4 Name,HBO 4 Pos Key,HBO 5 ID,HBO 5 Name,HBO 5 Pos Key,HBO 6 ID,HBO 6 Name,HBO 6 Pos Key,HBO 7 ID,HBO 7 Name,HBO 7 Pos Key,HBO 8 ID,HBO 8 Name,HBO 8 Pos Key,HBO 9 ID,HBO 9 Name,HBO 9 Pos Key,ABO 1 ID,ABO 1 Name,ABO 1 Pos Key,ABO 2 ID,ABO 2 Name,ABO 2 Pos Key,ABO 3 ID,ABO 3 Name,ABO 3 Pos Key,ABO 4 ID,ABO 4 Name,ABO 4 Pos Key,ABO 5 ID,ABO 5 Name,ABO 5 Pos Key,ABO 6 ID,ABO 6 Name,ABO 6 Pos Key,ABO 7 ID,ABO 7 Name,ABO 7 Pos Key,ABO 8 ID,ABO 8 Name,ABO 8 Pos Key,ABO 9 ID,ABO 9 Name,ABO 9 Pos Key
0,1999-04-04,N,MNT01,ripps901,Steve Rippley,SDN,COL,ashba002,Andy Ashby,kiled001,Darryl Kile,veraq001,Quilvio Veras,4,sandr002,Reggie Sanders,7,gwynt001,Tony Gwynn,9,joynw001,Wally Joyner,3,myerg001,Greg Myers,2,ariag001,George Arias,5,river002,Ruben Rivera,8,gomec001,Chris Gomez,6,ashba002,Andy Ashby,1,hamid001,Darryl Hamilton,8,peren001,Neifi Perez,6,harrl001,Lenny Harris,9,bichd001,Dante Bichette,7,castv001,Vinny Castilla,5,heltt001,Todd Helton,3,lansm001,Mike Lansing,4,manwk001,Kirt Manwaring,2,kiled001,Darryl Kile,1
1,1999-04-05,D,BAL12,cobld901,Drew Coble,BAL,TBA,mussm001,Mike Mussina,alvaw001,Wilson Alvarez,andeb001,Brady Anderson,8,bordm001,Mike Bordick,6,clarw001,Will Clark,3,bellj002,Albert Belle,9,conij001,Jeff Conine,10,ripkc001,Cal Ripken,5,surhb001,B.J. Surhoff,7,johnc002,Charles Johnson,2,reboj001,Jeff Reboulet,4,winnr001,Randy Winn,8,martd002,Dave Martinez,9,cansj001,Jose Canseco,10,mcgrf001,Fred McGriff,3,flahj001,John Flaherty,2,boggw001,Wade Boggs,5,sorrp001,Paul Sorrento,7,cairm001,Miguel Cairo,4,stock001,Kevin Stocker,6
2,1999-04-05,D,KAN06,garcr901,Rich Garcia,KCA,BOS,appik001,Kevin Appier,martp001,Pedro Martinez,beltc001,Carlos Beltran,8,randj002,Joe Randa,5,damoj001,Johnny Damon,7,kingj001,Jeff King,3,suttl001,Larry Sutton,10,dye-j001,Jermaine Dye,9,kreuc001,Chad Kreuter,2,sancr001,Rey Sanchez,6,feblc001,Carlos Febles,4,offej001,Jose Offerman,10,lewid001,Darren Lewis,8,valej002,John Valentin,5,garcn001,Nomar Garciaparra,6,oleat001,Troy O'Leary,7,stanm002,Mike Stanley,3,hatts001,Scott Hatteberg,2,fryej001,Jeff Frye,4,nixot001,Trot Nixon,9
3,1999-04-05,N,OAK01,evanj901,Jim Evans,OAK,NYA,hereg001,Gil Heredia,clemr001,Roger Clemens,philt001,Tony Phillips,4,mcdoj002,Jason McDonald,8,giamj001,Jason Giambi,10,staim001,Matt Stairs,9,jahaj001,John Jaha,3,grieb001,Ben Grieve,7,chave001,Eric Chavez,5,hinca001,A.J. Hinch,2,tejam001,Miguel Tejada,6,knobc001,Chuck Knoblauch,4,jeted001,Derek Jeter,6,oneip001,Paul O'Neill,9,willb002,Bernie Williams,8,martt002,Tino Martinez,3,davic001,Chili Davis,10,leder001,Ricky Ledee,7,bross001,Scott Brosius,5,giraj001,Joe Girardi,2
4,1999-04-05,N,SEA02,brinj901,Joe Brinkman,SEA,CHA,fassj001,Jeff Fassero,baldj002,James Baldwin,guilc001,Carlos Guillen,4,rodra001,Alex Rodriguez,6,grifk002,Ken Griffey,8,marte001,Edgar Martinez,10,segud001,David Segui,3,buhnj001,Jay Buhner,9,mabrj001,John Mabry,7,davir002,Russ Davis,5,wilsd001,Dan Wilson,2,durhr001,Ray Durham,4,carum001,Mike Caruso,6,thomf001,Frank Thomas,3,konep001,Paul Konerko,10,ordom001,Magglio Ordonez,9,nortg001,Greg Norton,5,abboj002,Jeff Abbott,7,jackd002,Darrin Jackson,8,fordb001,Brook Fordyce,2
5,1999-04-05,D,ARL02,mckej901,Jim McKean,TEX,DET,hellr001,Rick Helling,moehb001,Brian Moehler,goodt001,Tom Goodwin,8,alicl001,Luis Alicea,4,greer001,Rusty Greer,7,gonzj002,Juan Gonzalez,9,palmr001,Rafael Palmeiro,10,rodri001,Ivan Rodriguez,2,stevl001,Lee Stevens,3,zeilt001,Todd Zeile,5,clayr001,Royce Clayton,6,encaj001,Juan Encarnacion,7,jeffg001,Gregg Jefferies,10,easld001,Damion Easley,4,clart002,Tony Clark,3,palmd002,Dean Palmer,5,higgb001,Bobby Higginson,9,cruzd001,Deivi Cruz,6,ausmb001,Brad Ausmus,2,huntb002,Brian Hunter,8
6,1999-04-05,D,ATL02,demud901,Dana DeMuth,ATL,PHI,glavt001,Tom Glavine,schic002,Curt Schilling,nixoo001,Otis Nixon,7,boonb002,Bret Boone,4,jonec004,Chipper Jones,5,jordb001,Brian Jordan,9,lopej001,Javy Lopez,2,klesr001,Ryan Klesko,3,jonea002,Andruw Jones,8,weisw001,Walt Weiss,6,glavt001,Tom Glavine,1,gland001,Doug Glanville,8,andem003,Marlon Anderson,4,roles001,Scott Rolen,5,brogr001,Rico Brogna,3,gantr001,Ron Gant,7,abreb001,Bobby Abreu,9,liebm001,Mike Lieberthal,2,relad001,Desi Relaford,6,schic002,Curt Schilling,1
7,1999-04-05,D,CIN08,crawj901,Jerry Crawford,CIN,SFN,tomkb001,Brett Tomko,gardm001,Mark Gardner,camem001,Mike Cameron,8,larkb001,Barry Larkin,6,cases001,Sean Casey,3,vaugg001,Greg Vaughn,7,yound001,Dmitri Young,9,taube001,Ed Taubensee,2,boona001,Aaron Boone,5,reesp001,Pokey Reese,4,tomkb001,Brett Tomko,1,benam001,Marvin Benard,8,muelb001,Bill Mueller,5,bondb001,Barry Bonds,7,kentj001,Jeff Kent,4,snowj001,J.T. Snow,3,burke001,Ellis Burks,9,maynb001,Brent Mayne,2,aurir001,Rich Aurilia,6,gardm001,Mark Gardner,1
8,1999-04-05,D,MIA01,tatat901,Terry Tata,FLO,NYN,ferna001,Alex Fernandez,leita001,Al Leiter,castl001,Luis Castillo,4,gonza002,Alex Gonzalez,6,kotsm001,Mark Kotsay,9,lee-d002,Derrek Lee,3,dunwt001,Todd Dunwoody,8,wilsp002,Preston Wilson,7,oriek001,Kevin Orie,5,redmm001,Mike Redmond,2,ferna001,Alex Fernandez,1,hendr001,Rickey Henderson,7,alfoe001,Edgardo Alfonzo,4,olerj001,John Olerud,3,piazm001,Mike Piazza,2,bonib001,Bobby Bonilla,9,ventr001,Robin Ventura,5,mcrab001,Brian McRae,8,ordor001,Rey Ordonez,6,leita001,Al Leiter,1
9,1999-04-05,D,LOS03,froeb901,Bruce Froemming,LAN,ARI,browk001,Kevin Brown,johnr005,Randy Johnson,youne001,Eric Young,4,grudm001,Mark Grudzielanek,6,shefg001,Gary Sheffield,7,mondr002,Raul Mondesi,9,whitd001,Devon White,8,karre001,Eric Karros,3,hundt001,Todd Hundley,2,belta001,Adrian Beltre,5,browk001,Kevin Brown,1,finls001,Steve Finley,8,bellj001,Jay Bell,4,lee-t002,Travis Lee,3,willm003,Matt Williams,5,gonzl001,Luis Gonzalez,7,gilkb001,Bernard Gilkey,9,batit001,Tony Batista,6,stink001,Kelly Stinnett,2,johnr005,Randy Johnson,1
