"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Justin Verlander","Astros","OAK @ HOU",".53","7.36","28.93","5.45","3.10","1.18",".14","1.03","1.82","9.11","30.36","48.25","28.44","8700"
"Rich Hill","Dodgers","LAD @ SD",".44","6.03","25.00","4.90","3.07",".96",".11",".75","2.51","7.22","22.32","37.45","20.82","4806"
"Trevor Bauer","Indians","CIN @ CLE",".46","6.27","27.01","5.92","3.80","1.35",".08",".69","2.84","7.32","20.96","37.29","19.93","12703"
"Drew Gagnon","Mets","PHI @ NYM",".37","6.29","26.02","5.57","3.33","1.09",".09","1.05","2.07","6.29","19.89","34.03","18.35","sa455094"
"Masahiro Tanaka","Yankees","NYY @ BAL",".49","6.24","25.80","6.15","3.80","1.08",".05","1.22","1.38","6.25","19.91","33.88","18.41","15764"
"Jose Quintana","Cubs","CHC @ SF",".42","6.43","27.39","6.27","4.14","1.43",".19",".51","2.49","5.90","18.50","33.48","17.45","11423"
"Matt Boyd","Tigers","DET @ TB",".34","6.42","27.69","6.31","4.26","1.12",".14",".79","2.78","6.04","17.51","32.37","16.65","15440"
"Julio Teheran","Braves","TOR @ ATL",".38","6.44","26.94","5.75","3.35","1.23",".08","1.08","2.43","5.41","17.73","31.42","16.38","6797"
"Garrett Richards","Angels","SEA @ LAA",".37","5.66","23.57","5.04","3.42",".92",".08",".63","2.07","5.61","18.03","30.76","16.64","9784"
"Miles Mikolas","Cardinals","STL @ CWS",".48","6.36","26.35","6.54","4.41","1.06",".24",".83","1.37","5.02","17.62","30.95","16.24","9803"
"Pablo Lopez","Marlins","MIL @ MIA",".28","6.17","25.96","5.81","3.61","1.08",".11","1.01","2.17","5.65","17.28","30.73","15.95","17085"
"Jhoulys Chacin","Brewers","MIL @ MIA",".44","6.00","25.25","5.34","3.70","1.03",".13",".48","2.46","4.75","16.91","30.04","15.59","2608"
"Enyel De Los Santos","Phillies","PHI @ NYM",".36","6.17","25.89","5.52","3.34","1.05",".09","1.05","2.42","5.15","16.70","29.74","15.40","sa877528"
"Patrick Corbin","Diamondbacks","ARI @ COL",".36","5.72","25.09","6.26","3.73","1.26",".27","1.00","2.18","6.16","16.01","29.68","15.17","9323"
"Eric Lauer","Padres","LAD @ SD",".27","5.91","25.58","5.66","3.52","1.16",".11",".87","2.74","5.69","16.12","29.68","15.12","19316"
"Joe Musgrove","Pirates","WSH @ PIT",".34","6.21","26.25","6.26","3.96","1.32",".11",".87","1.94","4.58","15.15","27.79","13.92","12970"
"Derek Holland","Giants","CHC @ SF",".30","5.73","24.65","5.74","3.61","1.26",".17",".70","2.24","5.04","15.08","27.64","14.02","4141"
"Mike Leake","Mariners","SEA @ LAA",".34","6.49","27.42","6.89","4.43","1.29",".08","1.10","1.67","3.87","13.71","25.75","12.62","10130"
"Sean Manaea","Athletics","OAK @ HOU",".26","6.11","26.28","6.35","3.99","1.30",".14",".92","2.21","4.43","13.40","25.65","12.43","15873"
"Tyler Anderson","Rockies","ARI @ COL",".32","5.47","23.81","5.99","3.67","1.22",".25",".85","1.97","4.55","12.82","24.32","11.93","12880"
"Marcus Stroman","Blue Jays","TOR @ ATL",".36","6.04","25.87","6.70","4.55","1.38",".11",".65","1.75","3.70","12.67","24.50","11.66","13431"
"Jeremy Hellickson","Nationals","WSH @ PIT",".36","5.50","23.17","5.78","3.55","1.32",".14",".77","1.39","3.44","12.39","22.46","11.15","4371"
"Hector Velazquez","Red Sox","TEX @ BOS",".37","5.19","22.66","5.91","3.56","1.32",".09",".95","1.71","3.99","11.46","21.87","10.63","19341"
"Sal Romano","Reds","CIN @ CLE",".27","5.62","25.35","6.51","3.89","1.66",".09",".87","2.62","3.82","9.54","21.02","9.07","13690"
"Andrew Cashner","Orioles","NYY @ BAL",".24","5.61","25.09","5.99","3.65","1.20",".08","1.06","2.87","3.75","9.66","20.81","9.04","8782"
"Dylan Covey","White Sox","STL @ CWS",".20","4.96","22.18","5.48","3.37",".99",".07","1.05","2.35","4.00","9.75","19.76","9.16","14825"
"Aaron Slegers","Twins","KC @ MIN",".35","5.18","22.48","6.24","3.67","1.31",".12","1.13","1.24","3.06","9.32","18.44","8.43","15231"
"Ian Kennedy","Royals","KC @ MIN",".25","5.09","23.39","6.19","3.16","1.50",".16","1.36","2.46","4.09","8.17","18.56","7.83","6986"
"Yovani Gallardo","Rangers","TEX @ BOS",".24","5.00","23.25","6.45","3.78","1.44",".13","1.09","2.41","3.25","6.12","15.93","5.93","8173"
