,Date,Home/Away,Opp,Win Prob,Win/Loss,TeamRuns,Opp Runs,StarterID,StarterName,OppStarterID,OppStarterName
0,"Mar 5, 2010",Home,TBR,-1,,-1.0,-1.0,,,,
1,"Mar 8, 2010",Home,PHI,-1,,-1.0,-1.0,,,,
2,"Mar 9, 2010",Home,PIT,-1,,-1.0,-1.0,,,,
3,"Mar 17, 2010",Away,PHI,-1,,-1.0,-1.0,,,,
4,"Mar 19, 2010",Home,DET,-1,,-1.0,-1.0,,,,
5,"Mar 22, 2010",Away,PHI,-1,,-1.0,-1.0,,,,
6,"Mar 25, 2010",Away,BAL,-1,,-1.0,-1.0,,,,
7,"Mar 30, 2010",Away,ATL,-1,,-1.0,-1.0,,,,
8,"Mar 31, 2010",Home,MIN,-1,,-1.0,-1.0,,,,
9,"Apr 4, 2010",Away,BOS,-1,L,7.0,9.0,,CC Sabathia,,Josh Beckett
10,"Apr 6, 2010",Away,BOS,-1,W,6.0,4.0,,A.J. Burnett,,Jon Lester
11,"Apr 7, 2010",Away,BOS,-1,W,3.0,1.0,,Andy Pettitte,,John Lackey
12,"Apr 9, 2010",Away,TBR,-1,L,3.0,9.0,,Javier Vazquez,,David Price
13,"Apr 10, 2010",Away,TBR,-1,W,10.0,0.0,,CC Sabathia,,Wade Davis
14,"Apr 11, 2010",Away,TBR,-1,W,7.0,3.0,,A.J. Burnett,,James Shields
15,"Apr 13, 2010",Home,LAA,-1,W,7.0,5.0,,Andy Pettitte,,Ervin Santana
16,"Apr 14, 2010",Home,LAA,-1,L,3.0,5.0,,Javier Vazquez,,Joel Pineiro
17,"Apr 15, 2010",Home,LAA,-1,W,6.0,2.0,,Phil Hughes,,Scott Kazmir
18,"Apr 16, 2010",Home,TEX,-1,W,5.0,1.0,,CC Sabathia,,C.J. Wilson
19,"Apr 17, 2010",Home,TEX,-1,W,7.0,3.0,,A.J. Burnett,,Scott Feldman
20,"Apr 18, 2010",Home,TEX,-1,W,5.0,2.0,,Andy Pettitte,,Rich Harden
21,"Apr 20, 2010",Away,OAK,-1,W,7.0,3.0,,Javier Vazquez,,Gio Gonzalez
22,"Apr 21, 2010",Away,OAK,-1,W,3.0,1.0,,Phil Hughes,,Ben Sheets
23,"Apr 22, 2010",Away,OAK,-1,L,2.0,4.0,,CC Sabathia,,Dallas Braden
24,"Apr 23, 2010",Away,LAA,-1,L,4.0,6.0,,A.J. Burnett,,Ervin Santana
