mlb_id,Name,Team,Opponent,Position,Batting Order,Projection,Actual,Price,Value,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,PA,Singles,Doubles,Triples,HR,R,RBI,BB,SB,CS,AVG,OBP,SLG,OPS,wOBA,ISO,IP,Wins,QS,K,CG,CGSO,ERA,FIP
605483,Blake Snell,tba,nya,P,,16.0098,25.45,9000,1.7788666666666666,16.0098,7.45,16.35,24.8,28.75,35.15,42.4505,30.8084,17,31.5,45,50,59,67,17.065,8,18,27,31,38,45,25.2208,3.371,1.0996,0.0546,1.1244,3.2674,0,2.5104,0,0,,,,,,,5.861,0.3196,0.4406,6.1954,0.0196,0.011,4.6276062105442755,4.8218353523289545
547888,Masahiro Tanaka,nya,tba,P,,17.1908,16.1,8000,2.14885,17.1908,8.6375,17.85,25.95,29.6075,35.5,41.65,31.72,18,32,45,51,59,67,18.5114,9,19,28,32,39,45,23.6676,3.3658,1.062,0.0884,1.0356,2.927,0,1.7,0,0,,,,,,,5.64907,0.362,0.3872,6.3912,0.0032,0.003,4.3130639202559005,4.180248074461814
519317,Giancarlo Stanton,nya,tba,OF,2,10.708,12,5300,2.020377358490566,10.708,3,8,17,21,29,37,14.3458,3,9.5,22.2,28.115,38.21,50.603,9.1952,2,6,14,18,24,32,4.4852,0.527,0.193,0.0044,0.381,0.7942,0.7884,0.5208,0.022,0.0114,0.2788316012511351,0.362570230981896,0.6180506507920492,0.9806208817739452,0.411903148131633,0.33921904954091414,0,0,0,1.3582,0,0,,
605480,Mallex Smith,tba,nya,OF,1,7.8522,15,4800,1.635875,7.8522,3,7,12,15,20,28,9.8671,3,9,15.2,18.7,25.7,34.905,6.4132,2,6,10,12,16,22,4.7014,0.7962,0.2074,0.0416,0.0488,0.471,0.3062,0.3892,0.2546,0.131,0.25369880803302264,0.31548049517165105,0.3550391911321368,0.6705196863037879,0.2963312630280342,0.10134038309911414,0,0,0,1.1996,0,0,,
543305,Aaron Hicks,nya,tba,OF,1,9.4942,12,4600,2.0639565217391302,9.4942,3,7,14,18,25,35,12.6061,3,9.2,18.7,24.7,33.9,46.9,8.134,2,6,12,16,22,30,4.5828,0.5922,0.1916,0.0146,0.2188,0.7414,0.5136,0.6984,0.1096,0.0688,0.26186798475955103,0.3743562887317797,0.4876943672124395,0.8620506559442191,0.37332469232783455,0.22582638245288844,0,0,0,0.9958,0,0,,
609280,Miguel Andujar,nya,tba,3B,3,8.971,0,4600,1.950217391304348,8.971,3,7,14,18,24.05,35,11.6912,3,9,18.7,23.2,32.2,47.4,7.4936,2,6,12,14,20,30,4.3818,0.6986,0.279,0.0116,0.222,0.5822,0.6688,0.2512,0.0326,0.0222,0.2932261656902145,0.33374412341959925,0.5276231056020917,0.8613672290216909,0.3668184307818705,0.2343969399118772,0,0,0,0.8688,0,0,,
544369,Didi Gregorius,nya,tba,SS,4,7.5446,3,4500,1.676577777777778,7.5446,2,5,11,16,22,30,9.82222,3,6.2,13.05,21.7,29.01,40.6,6.292,2,4,8,14,18,26,4.2702,0.709,0.1794,0.0106,0.1552,0.5046,0.5666,0.2892,0.0326,0.0274,0.26480783722682744,0.3145988478291415,0.4321527254458679,0.7467515732750094,0.3232802679031427,0.16734488821904048,0,0,0,0.6754,0,0,,
621563,Joey Wendle,tba,nya,2B,2,7.7988,12,4200,1.856857142857143,7.7988,3,6,12,15,21,31,9.97566,3,6.5,15.2,19,28.4,40.6,6.4268,2,4,10,12,18,26,4.5912,0.7518,0.2226,0.029,0.1274,0.5198,0.463,0.2674,0.0848,0.0462,0.2615292104167631,0.30453911831329505,0.4148202969610066,0.7193594152743017,0.3113557675553233,0.1532910865442435,0,0,0,1.1136,0,0,,
641343,Jake Bauers,tba,nya,1B,3,8.2868,,4200,1.973047619047619,8.2868,2,6,13,17,24,33,10.9865,3,9,16,22.2,31.7,44.905,7.0632,2,6,10,14,20,28,4.4864,0.512,0.204,0.0098,0.1966,0.5302,0.5714,0.5046,0.0948,0.0606,0.2316540258174695,0.3180723965763196,0.4359334974132302,0.7540058939895498,0.32752237874465057,0.20427947159576068,0,0,0,1.3288,0,0,,
642715,Willy Adames,tba,nya,2B,7,6.4588,7,4100,1.5753170731707318,6.4588,0,5,10,14,20,28,8.34268,0,6,12.2,18.7,25.71,37.903,5.366,0,4,8,12,16,24,4.0672,0.6068,0.1512,0.013,0.128,0.4144,0.4216,0.2812,0.0528,0.0382,0.23745377707342846,0.29017505900865465,0.3856840993132594,0.675859158321914,0.2945853658536585,0.14823032223983096,0,0,0,1.346,0,0,,
