,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,131.0,- - -,578.0,137.0,26.0,2.0,74.0,67.0,23.0,55.0,4.0,8.0,88.0,0.266,0.347,0.465,0.346,6.05,3.78,1.6,1.58,15.2,9.5,5.7,- - -,1.47,0.282,75.1,5.53,4.94
1,Total,vs R,149.1,- - -,632.0,151.0,18.0,1.0,83.0,80.0,22.0,49.0,3.0,3.0,112.0,0.26,0.323,0.418,0.319,6.75,2.95,2.29,1.33,17.7,7.8,10.0,- - -,1.34,0.289,69.7,4.6,4.31
