,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,488.2,3.09,2064.0,400.0,70.0,4.0,183.0,168.0,33.0,201.0,14.0,31.0,476.0,0.218,0.309,0.32,0.283,8.77,3.7,2.37,0.61,23.1,9.7,13.3,0.218,1.23,0.277,76.7,3.46,3.69
1,Total,Away,386.0,4.36,1734.0,353.0,73.0,5.0,210.0,187.0,33.0,225.0,23.0,21.0,407.0,0.237,0.35,0.367,0.319,9.49,5.25,1.81,0.77,23.5,13.0,10.5,0.237,1.5,0.305,70.4,4.03,4.11
