,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,168.1,3.53,708.0,154.0,32.0,4.0,79.0,66.0,21.0,60.0,6.0,1.0,203.0,0.238,0.305,0.402,0.306,10.85,3.21,3.38,1.12,28.7,8.5,20.2,0.238,1.27,0.314,73.3,3.42,3.19
1,Total,Away,169.0,3.67,710.0,152.0,28.0,6.0,76.0,69.0,14.0,66.0,5.0,6.0,185.0,0.238,0.317,0.374,0.302,9.85,3.51,2.8,0.75,26.1,9.3,16.8,0.238,1.29,0.314,72.4,3.29,3.63
