,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,28.1,4.45,120.0,24.0,2.0,1.0,15.0,14.0,5.0,12.0,1.0,0.0,29.0,0.222,0.303,0.402,0.303,9.21,3.81,2.42,1.59,24.2,10.0,14.2,0.222,1.27,0.257,72.4,4.68,4.06
1,Total,Away,17.0,6.88,86.0,24.0,5.0,1.0,13.0,13.0,3.0,10.0,2.0,2.0,17.0,0.324,0.419,0.541,0.404,9.0,5.29,1.7,1.59,19.8,11.6,8.1,0.324,2.0,0.389,72.3,5.57,5.3
