,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,434.1,- - -,1860.0,388.0,84.0,5.0,205.0,196.0,53.0,188.0,5.0,21.0,447.0,0.235,0.322,0.393,0.314,9.26,3.9,2.38,1.1,24.0,10.1,13.9,- - -,1.33,0.291,75.0,4.11,4.11
1,Total,vs R,460.1,- - -,1945.0,429.0,95.0,9.0,214.0,198.0,44.0,166.0,3.0,20.0,472.0,0.244,0.317,0.387,0.309,9.23,3.25,2.84,0.86,24.3,8.5,15.7,- - -,1.29,0.31,72.5,3.55,3.76
