,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,145.1,- - -,610.0,139.0,30.0,2.0,65.0,64.0,15.0,40.0,0.0,6.0,174.0,0.247,0.305,0.39,0.305,10.78,2.48,4.35,0.93,28.5,6.6,22.0,- - -,1.23,0.331,73.2,3.01,2.93
1,Total,vs R,262.1,- - -,1057.0,205.0,37.0,4.0,96.0,92.0,27.0,77.0,14.0,5.0,285.0,0.21,0.273,0.343,0.266,9.78,2.64,3.7,0.93,27.0,7.3,19.7,- - -,1.07,0.269,76.7,3.22,3.63
