,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,454.2,3.6,1886.0,391.0,90.0,8.0,194.0,182.0,55.0,146.0,1.0,14.0,435.0,0.227,0.293,0.388,0.297,8.61,2.89,2.98,1.09,23.1,7.7,15.3,0.227,1.18,0.272,75.3,3.86,4.23
1,Total,Away,388.1,4.29,1663.0,370.0,72.0,14.0,201.0,185.0,64.0,140.0,6.0,9.0,348.0,0.244,0.314,0.444,0.326,8.07,3.24,2.49,1.48,20.9,8.4,12.5,0.244,1.31,0.278,74.1,4.64,4.59
