,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,31.0,5.52,136.0,29.0,9.0,1.0,20.0,19.0,2.0,16.0,3.0,2.0,28.0,0.246,0.351,0.4,0.322,8.13,4.65,1.75,0.58,20.6,11.8,8.8,0.246,1.45,0.307,61.1,3.93,4.52
1,Total,Away,26.0,2.08,113.0,28.0,8.0,0.0,6.0,6.0,4.0,11.0,5.0,0.0,27.0,0.275,0.348,0.475,0.34,9.35,3.81,2.45,1.38,23.9,9.7,14.2,0.275,1.5,0.338,98.8,4.34,4.1
