,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,120.1,4.94,520.0,119.0,27.0,3.0,71.0,66.0,16.0,40.0,0.0,4.0,92.0,0.25,0.316,0.426,0.32,6.88,2.99,2.3,1.2,17.7,7.7,10.0,0.25,1.32,0.28,65.4,4.45,4.68
1,Total,Away,89.1,4.63,377.0,91.0,19.0,1.0,49.0,46.0,14.0,23.0,0.0,2.0,65.0,0.259,0.31,0.445,0.323,6.55,2.32,2.83,1.41,17.2,6.1,11.1,0.259,1.28,0.282,69.5,4.58,4.6
