,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,674.2,3.6,2837.0,625.0,133.0,9.0,295.0,270.0,61.0,253.0,3.0,26.0,515.0,0.244,0.322,0.382,0.312,6.87,3.38,2.04,0.81,18.2,8.9,9.2,0.244,1.3,0.285,74.4,3.98,3.89
1,Total,Away,653.2,4.56,2832.0,641.0,109.0,20.0,357.0,331.0,75.0,287.0,9.0,27.0,481.0,0.255,0.34,0.41,0.33,6.62,3.95,1.68,1.03,17.0,10.1,6.8,0.255,1.42,0.289,70.4,4.55,4.15
