,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,437.0,3.46,1824.0,423.0,76.0,4.0,183.0,168.0,37.0,124.0,24.0,22.0,366.0,0.252,0.315,0.376,0.3,7.54,2.55,2.95,0.76,20.1,6.8,13.3,0.252,1.25,0.303,74.6,3.54,3.7
1,Total,Away,424.1,3.44,1771.0,397.0,75.0,5.0,169.0,162.0,44.0,125.0,20.0,22.0,396.0,0.245,0.31,0.384,0.301,8.4,2.65,3.17,0.93,22.4,7.1,15.3,0.245,1.23,0.298,77.7,3.64,3.57
