,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,7.2,- - -,40.0,10.0,2.0,0.0,10.0,9.0,2.0,7.0,0.0,0.0,9.0,0.303,0.425,0.545,0.416,10.57,8.22,1.29,2.35,22.5,17.5,5.0,- - -,2.22,0.364,49.3,6.93,6.14
1,Total,vs R,10.2,- - -,49.0,12.0,1.0,0.0,6.0,6.0,2.0,6.0,0.0,0.0,10.0,0.279,0.367,0.442,0.354,8.44,5.06,1.67,1.69,20.4,12.2,8.2,- - -,1.69,0.323,79.0,5.4,4.99
