,Date,Team,Opp,GS,W,L,ERA,G,GS_x,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2,DKfp,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,FIP
0,Total,- - -,- - -,226.0,83.0,92.0,3.72,242.0,226.0,8.0,2.0,1.0,0.0,0.0,1422.1,5976.0,1456.0,655.0,588.0,140.0,332.0,14.0,72.0,39.0,5.0,970.0,53.0,4021.2500000000027,6.14,2.1,2.92,0.89,16.2,5.6,10.7,0.261,1.26,0.295,72.4,92.0,96.0,3.86
1,2018-06-08,TEX,HOU,1.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,6.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,35.0,4.05,3.6,3.6,1.0,1.8,9.5,9.5,0.0,0.316,1.6,0.313,45.5,201.0,143.0,6.16
2,2018-05-28,TEX,@SEA,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,58.0,12.3,3.0,1.5,2.0,0.0,7.7,3.9,3.9,0.25,1.17,0.273,75.0,67.0,81.0,3.49
3,2018-05-17,TEX,@CHW,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,74.0,23.75,5.14,0.0,4.0,0.0,16.0,0.0,16.0,0.24,0.86,0.286,100.0,0.0,47.0,2.01
4,2018-05-06,TEX,BOS,1.0,0.0,1.0,8.53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.1,30.0,9.0,6.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,31.0,9.925000000000002,7.11,2.84,2.5,2.84,16.7,6.7,10.0,0.333,1.74,0.35,65.2,191.0,164.0,7.1
5,2018-04-25,TEX,OAK,1.0,0.0,0.0,3.86,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,21.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,45.0,9.650000000000002,5.79,5.79,1.0,1.93,14.3,14.3,0.0,0.222,1.5,0.214,89.3,86.0,152.0,6.59
6,2018-04-04,TEX,@OAK,1.0,0.0,1.0,4.91,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2,21.0,7.0,5.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,5.0,34.0,11.4,12.27,4.91,2.5,0.0,23.8,9.5,14.3,0.389,2.45,0.538,50.0,110.0,67.0,2.88
7,2017-09-29,BOS,HOU,1.0,0.0,1.0,5.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1,22.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,51.0,14.875000000000002,8.44,1.69,5.0,1.69,22.7,4.6,18.2,0.238,1.13,0.267,65.2,112.0,99.0,4.28
8,2017-09-18,BOS,@BAL,1.0,0.0,0.0,22.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,4.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,-8.5,0.0,22.5,0.0,0.0,0.0,33.3,-33.3,0.4,4.5,0.4,44.4,496.0,248.0,10.66
9,2017-09-06,BOS,TOR,1.0,1.0,0.0,1.29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,29.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,9.0,75.0,33.95,11.57,3.86,3.0,0.0,31.0,10.3,20.7,0.154,1.0,0.235,85.7,28.0,43.0,1.87
