,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,29.2,5.76,136.0,32.0,6.0,1.0,19.0,19.0,2.0,20.0,0.0,2.0,21.0,0.281,0.397,0.407,0.357,6.37,6.07,1.05,0.61,15.4,14.7,0.7,0.281,1.75,0.33,68.4,4.84,5.5
1,Total,Away,15.2,3.45,70.0,20.0,3.0,1.0,6.0,6.0,0.0,7.0,1.0,0.0,14.0,0.318,0.386,0.397,0.341,8.04,4.02,2.0,0.0,20.0,10.0,10.0,0.318,1.72,0.408,77.8,2.7,3.65
