,Date,Team,Opp,GS,W,L,ERA,G,GS_x,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2,DKfp,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,FIP
0,Total,- - -,- - -,217.0,97.0,65.0,3.57,223.0,217.0,6.0,5.0,0.0,1.0,0.0,1308.1,5388.0,1089.0,577.0,519.0,125.0,451.0,17.0,49.0,63.0,1.0,1179.0,54.0,4343.325000000002,8.11,3.1,2.61,0.86,21.9,8.4,13.5,0.223,1.18,0.269,71.6,87.0,90.0,3.71
1,2018-08-29,PHI,WSN,1.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,4.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,21.0,2.95,9.0,9.0,1.0,6.0,18.8,18.8,0.0,0.308,2.33,0.25,71.4,298.0,307.0,12.82
2,2018-08-18,PHI,NYM,1.0,0.0,1.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,69.0,22.9,9.0,0.0,6.0,0.0,25.0,0.0,25.0,0.174,0.67,0.235,80.0,37.0,39.0,1.66
3,2018-08-06,PHI,@ARI,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,80.0,24.8,4.5,2.25,2.0,0.0,14.3,7.1,7.1,0.115,0.63,0.136,100.0,0.0,69.0,2.91
4,2018-07-25,PHI,LAD,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,5.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,51.0,24.3,9.0,3.0,3.0,1.5,25.0,8.3,16.7,0.227,1.17,0.267,71.4,75.0,103.0,4.32
5,2018-07-13,PHI,@MIA,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,71.0,23.95,3.86,3.86,1.0,0.0,13.0,13.0,0.0,0.15,0.86,0.176,100.0,0.0,85.0,3.59
6,2018-07-01,PHI,WSN,1.0,0.0,0.0,3.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,4.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,49.0,10.05,3.6,3.6,1.0,0.0,10.0,10.0,0.0,0.222,1.2,0.25,50.0,89.0,84.0,3.56
7,2018-06-20,PHI,STL,1.0,0.0,0.0,4.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,46.0,16.3,7.5,3.0,2.5,3.0,20.8,8.3,12.5,0.182,1.0,0.133,93.8,112.0,163.0,6.82
8,2018-06-09,PHI,MIL,1.0,0.0,1.0,6.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1,25.0,4.0,5.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,4.0,39.0,8.475000000000001,6.75,5.06,1.33,1.69,16.0,12.0,4.0,0.2,1.31,0.2,52.6,168.0,165.0,6.91
9,2018-05-29,PHI,@LAD,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,69.0,28.55,6.43,2.57,2.5,0.0,18.5,7.4,11.1,0.24,1.14,0.3,100.0,0.0,61.0,2.59
10,2018-05-18,PHI,@STL,1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,5.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,31.0,3.55,3.0,6.0,0.5,0.0,6.3,12.5,-6.3,0.357,2.33,0.385,42.9,149.0,107.0,4.49
11,2018-05-11,PHI,NYM,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.1,27.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,73.0,24.775000000000002,6.14,2.45,2.5,0.0,18.5,7.4,11.1,0.2,0.95,0.25,100.0,0.0,62.0,2.61
12,2018-04-30,PHI,@MIA,1.0,0.0,1.0,14.73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2,21.0,8.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,24.0,-2.000000000000001,4.91,4.91,1.0,0.0,9.5,9.5,0.0,0.421,2.73,0.471,40.0,366.0,88.0,3.7
13,2018-04-19,PHI,PIT,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,84.0,38.55,12.86,2.57,5.0,0.0,41.7,8.3,33.3,0.045,0.43,0.083,100.0,0.0,27.0,1.16
14,2018-04-08,PHI,MIA,1.0,0.0,0.0,4.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,42.0,13.8,11.25,4.5,2.5,2.25,27.8,11.1,16.7,0.188,1.25,0.2,55.6,112.0,129.0,5.41
15,2017-09-21,CHC,@MIL,1.0,0.0,0.0,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,51.0,12.65,3.6,1.8,2.0,1.8,10.0,5.0,5.0,0.263,1.2,0.25,100.0,41.0,128.0,5.56
16,2017-08-29,CHC,PIT,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,72.0,23.7,6.0,3.0,2.0,0.0,18.2,9.1,9.1,0.105,0.67,0.133,100.0,0.0,77.0,3.32
17,2017-08-18,CHC,TOR,1.0,1.0,0.0,1.42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.1,26.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,65.0,26.525000000000002,8.53,2.84,3.0,0.0,23.1,7.7,15.4,0.25,1.26,0.333,87.5,33.0,51.0,2.21
18,2017-08-07,CHC,@SFG,1.0,1.0,0.0,2.84,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.1,29.0,9.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,50.0,23.125,7.11,0.0,5.0,1.42,17.2,0.0,17.2,0.321,1.42,0.364,81.4,65.0,95.0,4.11
