,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,78.2,3.78,323.0,63.0,14.0,2.0,34.0,33.0,10.0,28.0,1.0,4.0,93.0,0.217,0.294,0.383,0.293,10.64,3.2,3.32,1.14,28.8,8.7,20.1,0.217,1.16,0.282,75.3,3.66,4.18
1,Total,Away,80.0,2.03,323.0,43.0,16.0,0.0,26.0,18.0,8.0,42.0,4.0,2.0,83.0,0.154,0.27,0.304,0.252,9.34,4.73,1.98,0.9,25.7,13.0,12.7,0.154,1.06,0.186,80.5,4.03,5.09
