,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,73.2,- - -,320.0,69.0,13.0,2.0,44.0,38.0,9.0,27.0,1.0,4.0,68.0,0.239,0.313,0.395,0.306,8.31,3.3,2.52,1.1,21.3,8.4,12.8,- - -,1.3,0.283,64.1,4.16,4.36
1,Total,vs R,89.1,- - -,383.0,92.0,13.0,2.0,52.0,44.0,12.0,23.0,0.0,6.0,80.0,0.26,0.318,0.414,0.316,8.06,2.32,3.48,1.21,20.9,6.0,14.9,- - -,1.29,0.305,66.2,4.08,3.8
