,Date,Team,Opp,GS,W,L,ERA,G,GS_x,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2,DKfp,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,FIP
0,Total,- - -,- - -,14.0,6.0,5.0,4.12,23.0,14.0,0.0,0.0,1.0,0.0,0.0,91.2,374.0,81.0,45.0,42.0,17.0,22.0,1.0,8.0,3.0,0.0,48.0,47.0,246.62500000000003,4.71,2.16,2.18,1.67,12.8,5.9,7.0,0.235,1.12,0.229,75.7,99.0,134.0,5.5
1,2018-07-23,ARI,@CHC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,100.0,0.0,77.0,3.16
2,2018-06-19,ARI,@LAA,1.0,0.0,1.0,7.94,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.2,27.0,7.0,5.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,27.0,-0.6999999999999988,0.0,3.18,0.0,3.18,0.0,7.4,-7.4,0.304,1.59,0.238,73.2,197.0,243.0,9.86
3,2018-06-09,ARI,@COL,1.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,8.0,7.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,4.65,3.6,1.8,2.0,5.4,8.7,4.4,4.4,0.364,1.8,0.294,41.7,223.0,265.0,10.76
4,2018-05-28,ARI,CIN,1.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,11.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,4.050000000000001,0.0,1.8,0.0,0.0,0.0,3.9,-3.9,0.458,2.4,0.458,61.5,223.0,107.0,4.36
5,2018-05-16,ARI,MIL,1.0,0.0,1.0,16.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.1,22.0,9.0,8.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.375,0.0,2.08,0.0,8.31,0.0,4.6,-4.6,0.429,2.31,0.294,45.5,412.0,391.0,15.85
6,2018-05-06,ARI,HOU,1.0,1.0,0.0,1.42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.1,25.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,58.0,21.125,4.26,0.0,3.0,1.42,12.0,0.0,12.0,0.25,0.95,0.25,100.0,35.0,116.0,4.74
7,2018-04-26,ARI,@PHI,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,56.0,20.3,6.0,3.0,2.0,0.0,16.7,8.3,8.3,0.273,1.33,0.333,75.0,74.0,69.0,2.82
8,2018-04-07,ARI,@STL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0, ,15.5,13.5,0.0,3.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,3.0,0.16
9,2016-10-02,ARI,SDP,1.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0,17.5,4.5,0.0,3.0,0.0,13.0,0.0,13.0,0.217,0.83,0.25,80.0,34.0,52.0,2.15
