,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,252.2,- - -,1059.0,233.0,36.0,10.0,112.0,99.0,21.0,69.0,0.0,12.0,244.0,0.238,0.297,0.366,0.292,8.69,2.46,3.54,0.75,23.0,6.5,16.5,- - -,1.2,0.297,71.0,3.21,3.45
1,Total,vs R,498.1,- - -,2154.0,518.0,117.0,6.0,263.0,254.0,72.0,195.0,20.0,11.0,424.0,0.266,0.338,0.449,0.34,7.66,3.52,2.17,1.3,19.7,9.1,10.6,- - -,1.43,0.307,74.0,4.51,4.16
