,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,29.1,2.45,121.0,21.0,5.0,0.0,11.0,8.0,2.0,10.0,1.0,2.0,29.0,0.193,0.275,0.296,0.254,8.9,3.07,2.9,0.61,24.0,8.3,15.7,0.193,1.06,0.244,72.9,3.29,3.93
1,Total,Away,23.2,7.61,125.0,38.0,5.0,1.0,22.0,20.0,3.0,18.0,0.0,1.0,33.0,0.359,0.456,0.514,0.42,12.55,6.85,1.83,1.14,26.4,14.4,12.0,0.359,2.37,0.5,66.3,4.43,4.38
