,Date,Team,Opp,GS,W,L,ERA,G,GS_x,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2,DKfp,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,FIP
0,Total,- - -,- - -,52.0,17.0,22.0,4.13,72.0,52.0,1.0,1.0,0.0,1.0,0.0,322.2,1378.0,307.0,160.0,148.0,33.0,126.0,6.0,21.0,10.0,5.0,267.0,48.0,955.6999999999997,7.45,3.51,2.12,0.92,19.4,9.1,10.2,0.249,1.34,0.294,72.1,108.0,108.0,4.18
1,2018-08-29,SEA,@SDP,0.0,0.0,0.0,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0, ,14.05,5.4,3.6,1.5,0.0,13.6,9.1,4.6,0.2,1.2,0.235,83.3,44.0,76.0,3.16
2,2018-08-22,SEA,HOU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,76.0,3.16
3,2018-07-28,SEA,@LAA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, ,4.25,9.0,0.0,1.0,0.0,25.0,0.0,25.0,0.25,1.0,0.333,100.0,0.0,29.0,1.16
4,2018-07-21,SEA,CHW,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.4,50.0,219.0,76.0,3.16
5,2018-07-12,SEA,@LAA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,0.333,100.0,0.0,76.0,3.16
6,2018-07-06,SEA,COL,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0, ,2.9499999999999997,3.0,6.0,0.5,0.0,7.1,14.3,-7.1,0.182,1.33,0.2,40.0,146.0,132.0,5.49
7,2018-06-22,SEA,@BOS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,100.0,0.0,76.0,3.16
8,2018-06-13,SEA,LAA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0, ,9.9,4.5,4.5,1.0,0.0,14.3,14.3,0.0,0.333,1.5,0.4,100.0,0.0,88.0,3.66
9,2018-06-01,SEA,TBR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, ,10.5,4.5,0.0,1.0,0.0,14.3,0.0,14.3,0.286,1.0,0.333,100.0,0.0,52.0,2.16
10,2016-08-14,BOS,ARI,0.0,0.0,0.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,2.0,0.444,75.0,103.0,75.0,3.15
11,2016-06-17,BOS,SEA,1.0,0.0,1.0,15.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,7.0,7.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,-2.8,4.5,6.75,0.67,4.5,9.5,14.3,-4.8,0.389,2.5,0.357,41.7,361.0,263.0,10.9
12,2015-10-03,SEA,OAK,1.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,7.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,-5.3,0.0,13.5,0.0,4.5,0.0,20.0,-20.0,0.583,5.0,0.545,69.8,466.0,357.0,14.13
13,2015-09-23,SEA,@KCR,1.0,0.0,0.0,1.69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1,24.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,57.0,19.075000000000003,10.13,6.75,1.5,0.0,25.0,16.7,8.3,0.2,1.5,0.286,87.5,44.0,79.0,3.13
