,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,48.0,- - -,202.0,36.0,10.0,1.0,17.0,16.0,5.0,27.0,1.0,2.0,46.0,0.208,0.322,0.366,0.304,8.63,5.06,1.7,0.94,22.8,13.4,9.4,- - -,1.31,0.254,82.8,4.41,5.2
1,Total,vs R,65.1,- - -,279.0,66.0,15.0,0.0,37.0,37.0,11.0,22.0,1.0,0.0,61.0,0.257,0.315,0.447,0.324,8.4,3.03,2.77,1.52,21.9,7.9,14.0,- - -,1.35,0.297,70.3,4.49,4.92
