,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,474.0,- - -,2032.0,424.0,84.0,11.0,215.0,205.0,56.0,197.0,3.0,13.0,573.0,0.233,0.312,0.386,0.308,10.88,3.74,2.91,1.06,28.2,9.7,18.5,- - -,1.31,0.309,75.4,3.56,3.31
1,Total,vs R,398.1,- - -,1592.0,286.0,58.0,4.0,146.0,133.0,43.0,131.0,2.0,20.0,497.0,0.199,0.275,0.337,0.271,11.23,2.96,3.79,0.97,31.2,8.2,23.0,- - -,1.05,0.27,77.2,3.16,3.26
