,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,51.1,- - -,226.0,44.0,8.0,0.0,20.0,18.0,4.0,28.0,4.0,1.0,52.0,0.223,0.323,0.325,0.286,9.12,4.91,1.86,0.7,23.0,12.4,10.6,- - -,1.4,0.284,78.6,3.83,4.2
1,Total,vs R,90.0,- - -,366.0,70.0,16.0,1.0,40.0,40.0,14.0,30.0,3.0,3.0,101.0,0.21,0.282,0.399,0.289,10.1,3.0,3.37,1.4,27.6,8.2,19.4,- - -,1.11,0.257,75.5,4.03,3.98
