,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,1244.2,3.82,5201.0,1174.0,226.0,16.0,578.0,528.0,165.0,357.0,17.0,51.0,994.0,0.245,0.306,0.407,0.311,7.19,2.58,2.78,1.19,19.1,6.9,12.3,0.245,1.23,0.278,74.3,4.22,4.17
1,Total,Away,1163.1,4.32,4940.0,1133.0,240.0,31.0,594.0,559.0,151.0,391.0,17.0,51.0,927.0,0.252,0.321,0.426,0.325,7.17,3.02,2.37,1.17,18.8,7.9,10.9,0.252,1.31,0.287,71.9,4.35,4.35
