,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,7.1,7.36,39.0,10.0,5.0,0.0,6.0,6.0,1.0,6.0,0.0,1.0,8.0,0.313,0.436,0.563,0.427,9.82,7.36,1.33,1.23,20.5,15.4,5.1,0.313,2.18,0.391,70.5,5.61,6.09
1,Total,Away,9.0,6.0,43.0,14.0,2.0,0.0,6.0,6.0,0.0,3.0,0.0,1.0,3.0,0.359,0.419,0.41,0.368,3.0,3.0,1.0,0.0,7.0,7.0,0.0,0.359,1.89,0.389,66.7,3.83,4.93
