,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,25.2,1.75,107.0,21.0,1.0,1.0,6.0,5.0,3.0,14.0,0.0,1.0,21.0,0.228,0.336,0.359,0.311,7.36,4.91,1.5,1.05,19.6,13.1,6.6,0.228,1.36,0.265,94.3,4.79,5.29
1,Total,Away,26.0,3.81,108.0,26.0,4.0,0.0,15.0,11.0,4.0,5.0,0.0,1.0,21.0,0.255,0.296,0.433,0.305,7.27,1.73,4.2,1.38,19.4,4.6,14.8,0.255,1.19,0.286,64.4,4.23,4.51
