,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,56.0,- - -,245.0,59.0,4.0,3.0,32.0,30.0,9.0,24.0,4.0,0.0,57.0,0.267,0.34,0.436,0.33,9.16,3.86,2.38,1.45,23.3,9.8,13.5,- - -,1.48,0.323,72.4,4.49,4.18
1,Total,vs R,77.2,- - -,317.0,63.0,11.0,1.0,26.0,22.0,3.0,28.0,2.0,1.0,94.0,0.219,0.292,0.299,0.262,10.89,3.24,3.36,0.35,29.7,8.8,20.8,- - -,1.17,0.314,75.2,2.36,3.63
