,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,24.2,3.28,96.0,17.0,5.0,0.0,9.0,9.0,6.0,7.0,0.0,0.0,26.0,0.191,0.25,0.449,0.295,9.49,2.55,3.71,2.19,27.1,7.3,19.8,0.191,0.97,0.193,96.2,5.05,3.52
1,Total,Away,19.2,3.66,90.0,21.0,1.0,0.0,8.0,8.0,1.0,10.0,2.0,1.0,12.0,0.266,0.36,0.321,0.301,5.49,4.58,1.2,0.46,13.3,11.1,2.2,0.266,1.58,0.303,78.4,4.27,6.01
