,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,22.0,- - -,97.0,23.0,2.0,1.0,14.0,14.0,6.0,8.0,1.0,1.0,14.0,0.261,0.33,0.511,0.355,5.73,3.27,1.75,2.45,14.4,8.3,6.2,- - -,1.41,0.25,76.3,6.65,5.48
1,Total,vs R,29.0,- - -,134.0,31.0,7.0,0.0,24.0,24.0,8.0,18.0,0.0,0.0,26.0,0.267,0.366,0.534,0.383,8.07,5.59,1.44,2.48,19.4,13.4,6.0,- - -,1.69,0.281,66.1,6.81,5.5
