,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,44.2,- - -,208.0,47.0,12.0,0.0,19.0,19.0,7.0,31.0,2.0,1.0,43.0,0.267,0.38,0.455,0.361,8.66,6.25,1.39,1.41,20.7,14.9,5.8,- - -,1.75,0.318,86.7,5.42,5.17
1,Total,vs R,60.1,- - -,248.0,51.0,10.0,0.0,38.0,36.0,10.0,15.0,0.0,4.0,71.0,0.223,0.283,0.403,0.295,10.59,2.24,4.73,1.49,28.6,6.1,22.6,- - -,1.09,0.277,57.1,3.9,3.73
