,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,272.2,- - -,1171.0,289.0,65.0,7.0,127.0,116.0,26.0,76.0,8.0,5.0,185.0,0.265,0.317,0.415,0.317,6.11,2.51,2.43,0.86,15.8,6.5,9.3,- - -,1.34,0.299,72.8,3.88,4.06
1,Total,vs R,364.1,- - -,1499.0,328.0,74.0,6.0,159.0,144.0,31.0,114.0,13.0,11.0,331.0,0.239,0.307,0.378,0.299,8.18,2.82,2.9,0.77,22.1,7.6,14.5,- - -,1.21,0.294,71.8,3.42,3.41
