,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,27.2,- - -,134.0,36.0,9.0,0.0,24.0,22.0,5.0,13.0,0.0,3.0,29.0,0.305,0.391,0.513,0.391,9.43,4.23,2.23,1.63,21.6,9.7,11.9,- - -,1.77,0.369,62.2,5.13,4.85
1,Total,vs R,102.0,- - -,454.0,121.0,27.0,0.0,72.0,68.0,21.0,41.0,1.0,0.0,98.0,0.293,0.364,0.525,0.379,8.65,3.62,2.39,1.85,21.6,9.0,12.6,- - -,1.59,0.34,67.9,5.1,4.19
