,Season,Handedness,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,vs L,166.2,- - -,656.0,111.0,25.0,3.0,64.0,61.0,12.0,53.0,2.0,4.0,181.0,0.185,0.258,0.301,0.249,9.77,2.86,3.42,0.65,27.6,8.1,19.5,- - -,0.98,0.244,68.8,2.92,3.38
1,Total,vs R,350.2,- - -,1518.0,341.0,72.0,5.0,168.0,155.0,43.0,144.0,10.0,17.0,309.0,0.251,0.334,0.413,0.326,7.93,3.7,2.15,1.1,20.4,9.5,10.9,- - -,1.38,0.297,75.6,4.33,4.19
