,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,470.0,4.08,1971.0,438.0,76.0,4.0,229.0,213.0,55.0,158.0,0.0,10.0,391.0,0.243,0.309,0.386,0.305,7.49,3.03,2.47,1.05,19.8,8.0,11.8,0.243,1.27,0.282,71.3,4.07,3.87
1,Total,Away,419.2,3.2,1751.0,365.0,74.0,3.0,175.0,149.0,31.0,146.0,3.0,12.0,388.0,0.229,0.3,0.341,0.284,8.32,3.13,2.66,0.66,22.2,8.3,13.8,0.229,1.22,0.285,72.6,3.38,3.54
