,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,255.0,3.14,1042.0,235.0,50.0,2.0,96.0,89.0,29.0,62.0,1.0,7.0,260.0,0.242,0.294,0.392,0.298,9.18,2.19,4.19,1.02,25.0,6.0,19.0,0.242,1.16,0.301,79.0,3.39,3.44
1,Total,Away,264.2,4.59,1107.0,267.0,51.0,6.0,138.0,135.0,42.0,61.0,2.0,12.0,201.0,0.258,0.308,0.446,0.324,6.84,2.07,3.3,1.43,18.2,5.5,12.7,0.258,1.24,0.285,71.8,4.51,4.46
