,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,81.0,4.0,350.0,78.0,11.0,1.0,44.0,36.0,8.0,28.0,2.0,2.0,80.0,0.244,0.311,0.367,0.297,8.89,3.11,2.86,0.89,22.9,8.0,14.9,0.244,1.31,0.302,66.1,3.55,3.58
1,Total,Away,86.2,3.63,379.0,86.0,13.0,1.0,36.0,35.0,8.0,38.0,4.0,3.0,88.0,0.254,0.338,0.374,0.312,9.14,3.95,2.32,0.83,23.2,10.0,13.2,0.254,1.43,0.322,78.6,3.71,3.63
