,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,27.1,5.27,110.0,21.0,4.0,0.0,17.0,16.0,3.0,10.0,1.0,1.0,39.0,0.212,0.291,0.343,0.277,12.84,3.29,3.9,0.99,35.5,9.1,26.4,0.212,1.13,0.316,54.0,2.94,2.99
1,Total,Away,23.0,3.91,103.0,19.0,3.0,1.0,11.0,10.0,0.0,10.0,0.0,0.0,26.0,0.204,0.287,0.264,0.251,10.17,3.91,2.6,0.0,25.2,9.7,15.5,0.204,1.26,0.284,62.1,2.2,3.22
