,Season,Home/Away,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG_x,OBP,SLG,wOBA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG_y,WHIP,BABIP,LOB%,FIP,xFIP
0,Total,Home,90.1,3.99,381.0,79.0,11.0,3.0,44.0,40.0,11.0,41.0,6.0,4.0,51.0,0.235,0.327,0.393,0.309,5.08,4.08,1.24,1.1,13.4,10.8,2.6,0.235,1.33,0.248,73.7,5.1,5.25
1,Total,Away,82.0,4.72,367.0,77.0,19.0,0.0,46.0,43.0,12.0,48.0,7.0,4.0,70.0,0.244,0.353,0.426,0.333,7.68,5.27,1.46,1.32,19.1,13.1,6.0,0.244,1.52,0.279,74.0,5.25,5.05
